method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,600,600,300,8,y_bar,0.1,0.1,0.1,2,1.0,0.11847372353076935,7.908059127628803,7.908059127628803,5.632177228108048,14.150316871702671,600,100600,200600,434535038,sfo,4816,4816,602,"[602, 602, 602, 602, 602, 602, 602, 602]",3276800,602,602,-0.8351789712905884,0.011466186493635178,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,624,624,312,8,y_bar,0.1,0.1,0.1,2,1.0,0.11643662303686142,8.39448636956513,8.39448636956513,5.9164424780756235,14.611810965463519,600,100600,200600,434535038,sfo,5008,5008,626,"[626, 626, 626, 626, 626, 626, 626, 626]",3407872,626,626,-0.8355530500411987,0.010159207507967949,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,648,648,324,8,y_bar,0.1,0.1,0.1,2,1.0,0.10555429756641388,8.91132809408009,8.91132809408009,6.363410988822579,15.011088939383626,600,100600,200600,434535038,sfo,5200,5200,650,"[650, 650, 650, 650, 650, 650, 650, 650]",3538944,650,650,-0.8355237245559692,0.011272565461695194,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,672,672,336,8,y_bar,0.1,0.1,0.1,2,1.0,0.11023087054491043,9.410245906561613,9.410245906561613,6.662702556699514,15.453545210883021,600,100600,200600,434535038,sfo,5392,5392,674,"[674, 674, 674, 674, 674, 674, 674, 674]",3670016,674,674,-0.8357366919517517,0.009824377484619617,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,696,696,348,8,y_bar,0.1,0.1,0.1,2,1.0,0.14876599609851837,9.95534123852849,9.95534123852849,7.128205010667443,15.855691080912948,600,100600,200600,434535038,sfo,5584,5584,698,"[698, 698, 698, 698, 698, 698, 698, 698]",3801088,698,698,-0.8356566429138184,0.009941424243152142,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,720,720,360,8,y_bar,0.1,0.1,0.1,2,1.0,0.08873305469751358,10.528448851779103,10.528448851779103,7.575603565201163,16.20920618623495,600,100600,200600,434535038,sfo,5776,5776,722,"[722, 722, 722, 722, 722, 722, 722, 722]",3932160,722,722,-0.8357459306716919,0.009289942681789398,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,744,744,372,8,y_bar,0.1,0.1,0.1,2,1.0,0.15809954702854156,10.99079193919897,10.99079193919897,7.892000146210194,16.66078875027597,600,100600,200600,434535038,sfo,5968,5968,746,"[746, 746, 746, 746, 746, 746, 746, 746]",4063232,746,746,-0.8357168436050415,0.009440100751817226,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,768,768,384,8,y_bar,0.1,0.1,0.1,2,1.0,0.1346011459827423,11.503653159365058,11.503653159365058,8.271697714924812,17.052314402535558,600,100600,200600,434535038,sfo,6160,6160,770,"[770, 770, 770, 770, 770, 770, 770, 770]",4194304,770,770,-0.8359552025794983,0.009093120694160461,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,792,792,396,8,y_bar,0.1,0.1,0.1,2,1.0,0.1463908553123474,12.001303834840655,12.001303834840655,8.701151253655553,17.48249952122569,600,100600,200600,434535038,sfo,6352,6352,794,"[794, 794, 794, 794, 794, 794, 794, 794]",4325376,794,794,-0.8358408212661743,0.009505688212811947,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,816,816,408,8,y_bar,0.1,0.1,0.1,2,1.0,0.12480311840772629,12.471793999895453,12.471793999895453,8.921802833676338,17.918092977255583,600,100600,200600,434535038,sfo,6544,6544,818,"[818, 818, 818, 818, 818, 818, 818, 818]",4456448,818,818,-0.8359268307685852,0.009134103544056416,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,840,840,420,8,y_bar,0.1,0.1,0.1,2,1.0,0.10532873123884201,12.923099175095558,12.923099175095558,9.240977080538869,18.373780608177185,600,100600,200600,434535038,sfo,6736,6736,842,"[842, 842, 842, 842, 842, 842, 842, 842]",4587520,842,842,-0.8359014987945557,0.00927194207906723,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
