method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,600,600,300,8,y_bar,0.1,0.1,0.1,2,1.0,0.16784830391407013,10.921101700514555,10.921101700514555,8.139285616576672,13.259308386594057,620,100620,200620,288791310,sfo,4816,4816,602,"[602, 602, 602, 602, 602, 602, 602, 602]",3276800,602,602,-0.8307586312294006,0.012085892260074615,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,624,624,312,8,y_bar,0.1,0.1,0.1,2,1.0,0.14412744343280792,11.476893451064825,11.476893451064825,8.6248865313828,13.672224558889866,620,100620,200620,288791310,sfo,5008,5008,626,"[626, 626, 626, 626, 626, 626, 626, 626]",3407872,626,626,-0.8308896422386169,0.011066876351833344,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,648,648,324,8,y_bar,0.1,0.1,0.1,2,1.0,0.15782852470874786,11.94911160506308,11.94911160506308,8.925757402554154,14.111739749088883,620,100620,200620,288791310,sfo,5200,5200,650,"[650, 650, 650, 650, 650, 650, 650, 650]",3538944,650,650,-0.8310409784317017,0.010142393410205841,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,672,672,336,8,y_bar,0.1,0.1,0.1,2,1.0,0.1509961038827896,12.417593695223331,12.417593695223331,9.26274435594678,14.587761398404837,620,100620,200620,288791310,sfo,5392,5392,674,"[674, 674, 674, 674, 674, 674, 674, 674]",3670016,674,674,-0.8311384916305542,0.01006823219358921,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,696,696,348,8,y_bar,0.1,0.1,0.1,2,1.0,0.12529070675373077,12.836940228939056,12.836940228939056,9.489569650962949,15.048302507027984,620,100620,200620,288791310,sfo,5584,5584,698,"[698, 698, 698, 698, 698, 698, 698, 698]",3801088,698,698,-0.8312825560569763,0.009311297908425331,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,720,720,360,8,y_bar,0.1,0.1,0.1,2,1.0,0.14511807262897491,13.275115486234426,13.275115486234426,9.862256405875087,15.447583680972457,620,100620,200620,288791310,sfo,5776,5776,722,"[722, 722, 722, 722, 722, 722, 722, 722]",3932160,722,722,-0.8311994671821594,0.009831023402512074,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,744,744,372,8,y_bar,0.1,0.1,0.1,2,1.0,0.1325620710849762,13.740738987922668,13.740738987922668,10.251758871600032,15.816698184236884,620,100620,200620,288791310,sfo,5968,5968,746,"[746, 746, 746, 746, 746, 746, 746, 746]",4063232,746,746,-0.8314090371131897,0.008913226425647736,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,768,768,384,8,y_bar,0.1,0.1,0.1,2,1.0,0.1389671266078949,14.175575466826558,14.175575466826558,10.607057455927134,16.206535516306758,620,100620,200620,288791310,sfo,6160,6160,770,"[770, 770, 770, 770, 770, 770, 770, 770]",4194304,770,770,-0.8312466144561768,0.009453792124986649,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,792,792,396,8,y_bar,0.1,0.1,0.1,2,1.0,0.11417122185230255,14.6754131000489,14.6754131000489,10.906813157722354,16.530604561790824,620,100620,200620,288791310,sfo,6352,6352,794,"[794, 794, 794, 794, 794, 794, 794, 794]",4325376,794,794,-0.831221342086792,0.009721298702061176,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,816,816,408,8,y_bar,0.1,0.1,0.1,2,1.0,0.12668021023273468,15.255322994664311,15.255322994664311,11.265189969912171,16.934911608695984,620,100620,200620,288791310,sfo,6544,6544,818,"[818, 818, 818, 818, 818, 818, 818, 818]",4456448,818,818,-0.8311226963996887,0.010070511139929295,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,840,840,420,8,y_bar,0.1,0.1,0.1,2,1.0,0.15629132091999054,15.840744581073523,15.840744581073523,11.638598993420601,17.318766536191106,620,100620,200620,288791310,sfo,6736,6736,842,"[842, 842, 842, 842, 842, 842, 842, 842]",4587520,842,842,-0.8313546180725098,0.009697171859443188,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,864,864,432,8,y_bar,0.1,0.1,0.1,2,1.0,0.09603261947631836,16.430715825408697,16.430715825408697,12.091344226151705,17.636344596743584,620,100620,200620,288791310,sfo,6928,6928,866,"[866, 866, 866, 866, 866, 866, 866, 866]",4718592,866,866,-0.831323504447937,0.010495631024241447,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
