stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO,630,0.02,True,456.0,458.0,3664.0,0.018716096878051758,962.0,7696.0
formal,NOG-FO,630,0.015,True,528.0,530.0,4240.0,0.013180876150727272,962.0,7696.0
formal,NOG-FO,630,0.01,True,672.0,674.0,5392.0,0.009990711696445942,962.0,7696.0
formal,NOG-FO,630,0.009,False,,,,0.009529843926429749,962.0,7696.0
formal,NOG-FO,630,0.008,False,,,,0.009529843926429749,962.0,7696.0
formal,NOG-FO,631,0.2,True,144.0,146.0,1168.0,0.19183187186717987,962.0,7696.0
formal,NOG-FO,631,0.1,True,264.0,266.0,2128.0,0.09121965616941452,962.0,7696.0
formal,NOG-FO,631,0.05,True,336.0,338.0,2704.0,0.04858482629060745,962.0,7696.0
formal,NOG-FO,631,0.03,True,408.0,410.0,3280.0,0.02460744045674801,962.0,7696.0
formal,NOG-FO,631,0.02,True,432.0,434.0,3472.0,0.019945254549384117,962.0,7696.0
formal,NOG-FO,631,0.015,True,504.0,506.0,4048.0,0.012581149116158485,962.0,7696.0
formal,NOG-FO,631,0.01,True,552.0,554.0,4432.0,0.009829704649746418,962.0,7696.0
formal,NOG-FO,631,0.009,True,744.0,746.0,5968.0,0.00868855882436037,962.0,7696.0
formal,NOG-FO,631,0.008,False,,,,0.009239410981535912,962.0,7696.0
formal,NOG-FO,632,0.2,True,144.0,146.0,1168.0,0.1926063597202301,962.0,7696.0
formal,NOG-FO,632,0.1,True,264.0,266.0,2128.0,0.09787068516016006,962.0,7696.0
formal,NOG-FO,632,0.05,True,360.0,362.0,2896.0,0.04282732307910919,962.0,7696.0
formal,NOG-FO,632,0.03,True,432.0,434.0,3472.0,0.025882242247462273,962.0,7696.0
formal,NOG-FO,632,0.02,True,456.0,458.0,3664.0,0.019872428849339485,962.0,7696.0
formal,NOG-FO,632,0.015,True,528.0,530.0,4240.0,0.01245828252285719,962.0,7696.0
formal,NOG-FO,632,0.01,True,624.0,626.0,5008.0,0.008669992908835411,962.0,7696.0
formal,NOG-FO,632,0.009,True,624.0,626.0,5008.0,0.008669992908835411,962.0,7696.0
formal,NOG-FO,632,0.008,False,,,,0.010719222947955132,962.0,7696.0
formal,NOG-FO,633,0.2,True,144.0,146.0,1168.0,0.1925887018442154,962.0,7696.0
formal,NOG-FO,633,0.1,True,264.0,266.0,2128.0,0.09771545231342316,962.0,7696.0
formal,NOG-FO,633,0.05,True,360.0,362.0,2896.0,0.043840184807777405,962.0,7696.0
formal,NOG-FO,633,0.03,True,408.0,410.0,3280.0,0.02717340551316738,962.0,7696.0
formal,NOG-FO,633,0.02,True,456.0,458.0,3664.0,0.01907653734087944,962.0,7696.0
formal,NOG-FO,633,0.015,True,480.0,482.0,3856.0,0.014739499427378178,962.0,7696.0
formal,NOG-FO,633,0.01,True,648.0,650.0,5200.0,0.009546676650643349,962.0,7696.0
formal,NOG-FO,633,0.009,False,,,,0.010653908364474773,962.0,7696.0
formal,NOG-FO,633,0.008,False,,,,0.010653908364474773,962.0,7696.0
formal,NOG-FO,634,0.2,True,144.0,146.0,1168.0,0.1908513456583023,962.0,7696.0
formal,NOG-FO,634,0.1,True,264.0,266.0,2128.0,0.09529569745063782,962.0,7696.0
formal,NOG-FO,634,0.05,True,360.0,362.0,2896.0,0.04394589737057686,962.0,7696.0
formal,NOG-FO,634,0.03,True,408.0,410.0,3280.0,0.028246039524674416,962.0,7696.0
formal,NOG-FO,634,0.02,True,456.0,458.0,3664.0,0.015987910330295563,962.0,7696.0
formal,NOG-FO,634,0.015,True,480.0,482.0,3856.0,0.014806699007749557,962.0,7696.0
formal,NOG-FO,634,0.01,True,720.0,722.0,5776.0,0.009968170896172523,962.0,7696.0
formal,NOG-FO,634,0.009,True,888.0,890.0,7120.0,0.008562619797885418,962.0,7696.0
formal,NOG-FO,634,0.008,False,,,,0.009206676855683327,962.0,7696.0
formal,NOG-FO,635,0.2,True,144.0,146.0,1168.0,0.18918856978416443,962.0,7696.0
formal,NOG-FO,635,0.1,True,264.0,266.0,2128.0,0.08889547735452652,962.0,7696.0
formal,NOG-FO,635,0.05,True,336.0,338.0,2704.0,0.04802948608994484,962.0,7696.0
formal,NOG-FO,635,0.03,True,408.0,410.0,3280.0,0.02518082596361637,962.0,7696.0
formal,NOG-FO,635,0.02,True,456.0,458.0,3664.0,0.016886470839381218,962.0,7696.0
formal,NOG-FO,635,0.015,True,480.0,482.0,3856.0,0.012730627320706844,962.0,7696.0
formal,NOG-FO,635,0.01,True,720.0,722.0,5776.0,0.009475418366491795,962.0,7696.0
formal,NOG-FO,635,0.009,True,840.0,842.0,6736.0,0.008957705460488796,962.0,7696.0
formal,NOG-FO,635,0.008,False,,,,0.008763816207647324,962.0,7696.0
formal,NOG-FO,636,0.2,True,144.0,146.0,1168.0,0.18912899494171143,962.0,7696.0
formal,NOG-FO,636,0.1,True,264.0,266.0,2128.0,0.08803112804889679,962.0,7696.0
formal,NOG-FO,636,0.05,True,336.0,338.0,2704.0,0.0468643456697464,962.0,7696.0
formal,NOG-FO,636,0.03,True,384.0,386.0,3088.0,0.029213713482022285,962.0,7696.0
formal,NOG-FO,636,0.02,True,456.0,458.0,3664.0,0.016281872987747192,962.0,7696.0
formal,NOG-FO,636,0.015,True,528.0,530.0,4240.0,0.013474097475409508,962.0,7696.0
formal,NOG-FO,636,0.01,True,600.0,602.0,4816.0,0.009725612588226795,962.0,7696.0
formal,NOG-FO,636,0.009,False,,,,0.011205924674868584,962.0,7696.0
formal,NOG-FO,636,0.008,False,,,,0.011205924674868584,962.0,7696.0
formal,NOG-FO,637,0.2,True,144.0,146.0,1168.0,0.1930598020553589,962.0,7696.0
formal,NOG-FO,637,0.1,True,264.0,266.0,2128.0,0.09685225784778595,962.0,7696.0
formal,NOG-FO,637,0.05,True,360.0,362.0,2896.0,0.04059870168566704,962.0,7696.0
formal,NOG-FO,637,0.03,True,408.0,410.0,3280.0,0.02797497622668743,962.0,7696.0
formal,NOG-FO,637,0.02,True,456.0,458.0,3664.0,0.01828419417142868,962.0,7696.0
formal,NOG-FO,637,0.015,True,504.0,506.0,4048.0,0.013330231420695782,962.0,7696.0
formal,NOG-FO,637,0.01,True,648.0,650.0,5200.0,0.009950283914804459,962.0,7696.0
