method,epsilon,region,formal_seed,hit,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO,0.02,medium,16,True,4,6,384,48,0.5824254958424717,962,61568,7696,6.4318591079209,0.009516707621514797
NOG-FO,0.02,medium,17,True,4,6,384,48,0.1909761179704219,962,61568,7696,5.6376097979955375,0.009500323794782162
NOG-FO,0.02,medium,18,True,4,6,384,48,0.1760971350595355,962,61568,7696,5.785413954174146,0.009314732626080513
NOG-FO,0.02,medium,19,True,4,6,384,48,0.17415746883489192,962,61568,7696,5.7890127236023545,0.009523515589535236
NOG-FO,0.015,medium,0,True,4,6,384,48,0.47479475988075137,962,61568,7696,6.050846831873059,0.008373730815947056
NOG-FO,0.015,medium,1,True,4,6,384,48,0.3051666980609298,962,61568,7696,5.72305913339369,0.009551898576319218
NOG-FO,0.015,medium,2,True,4,6,384,48,0.29650464025326073,962,61568,7696,5.605925141600892,0.00969171803444624
NOG-FO,0.015,medium,3,True,4,6,384,48,0.16242734668776393,962,61568,7696,5.763176725013182,0.008600149303674698
NOG-FO,0.015,medium,4,True,4,6,384,48,0.21046639909036458,962,61568,7696,5.9128177794627845,0.008750716224312782
NOG-FO,0.015,medium,5,True,4,6,384,48,0.3048755619674921,962,61568,7696,5.953616769053042,0.008030177094042301
NOG-FO,0.015,medium,6,True,4,6,384,48,0.2294913586229086,962,61568,7696,5.829603765625507,0.007470348849892616
NOG-FO,0.015,medium,7,True,4,6,384,48,0.3428952870890498,962,61568,7696,5.990632024593651,0.008546453900635242
NOG-FO,0.015,medium,8,True,4,6,384,48,0.5041000980418175,962,61568,7696,6.301989590050653,0.008868986740708351
NOG-FO,0.015,medium,9,True,4,6,384,48,0.18975988496094942,962,61568,7696,5.753462820779532,0.009641322307288647
NOG-FO,0.015,medium,10,True,4,6,384,48,0.17710807733237743,962,61568,7696,5.5978489252738655,0.008933430537581444
NOG-FO,0.015,medium,11,True,4,6,384,48,0.2008246520999819,962,61568,7696,5.853276073932648,0.009213156066834927
NOG-FO,0.015,medium,12,True,4,6,384,48,0.5629031860735267,962,61568,7696,5.944116523722187,0.008748495951294899
NOG-FO,0.015,medium,13,True,4,6,384,48,0.18573765200562775,962,61568,7696,5.659022847190499,0.008611652068793774
NOG-FO,0.015,medium,14,True,4,6,384,48,0.18440404208377004,962,61568,7696,5.619560414925218,0.009460246190428734
NOG-FO,0.015,medium,15,True,4,6,384,48,0.19110472896136343,962,61568,7696,5.7484752158634365,0.008737101219594479
NOG-FO,0.015,medium,16,True,4,6,384,48,0.5824254958424717,962,61568,7696,6.4318591079209,0.009516707621514797
NOG-FO,0.015,medium,17,True,4,6,384,48,0.1909761179704219,962,61568,7696,5.6376097979955375,0.009500323794782162
NOG-FO,0.015,medium,18,True,4,6,384,48,0.1760971350595355,962,61568,7696,5.785413954174146,0.009314732626080513
NOG-FO,0.015,medium,19,True,4,6,384,48,0.17415746883489192,962,61568,7696,5.7890127236023545,0.009523515589535236
NOG-FO,0.01,medium,0,True,4,6,384,48,0.47479475988075137,962,61568,7696,6.050846831873059,0.008373730815947056
NOG-FO,0.01,medium,1,True,148,150,9600,1200,1.1305752338375896,962,61568,7696,5.72305913339369,0.009551898576319218
NOG-FO,0.01,medium,2,True,100,102,6528,816,0.8095087870024145,962,61568,7696,5.605925141600892,0.00969171803444624
NOG-FO,0.01,medium,3,True,52,54,3456,432,0.4490804588422179,962,61568,7696,5.763176725013182,0.008600149303674698
NOG-FO,0.01,medium,4,True,100,102,6528,816,0.7775446618907154,962,61568,7696,5.9128177794627845,0.008750716224312782
NOG-FO,0.01,medium,5,True,52,54,3456,432,0.5605955319479108,962,61568,7696,5.953616769053042,0.008030177094042301
NOG-FO,0.01,medium,6,True,148,150,9600,1200,1.0700058094225824,962,61568,7696,5.829603765625507,0.007470348849892616
NOG-FO,0.01,medium,7,True,52,54,3456,432,0.6506493878550828,962,61568,7696,5.990632024593651,0.008546453900635242
NOG-FO,0.01,medium,8,True,100,102,6528,816,1.0370777214411646,962,61568,7696,6.301989590050653,0.008868986740708351
NOG-FO,0.01,medium,9,True,340,342,21888,2736,2.0517027385067195,962,61568,7696,5.753462820779532,0.009641322307288647
NOG-FO,0.01,medium,10,True,148,150,9600,1200,1.010296810651198,962,61568,7696,5.5978489252738655,0.008933430537581444
NOG-FO,0.01,medium,11,True,52,54,3456,432,0.4782447456382215,962,61568,7696,5.853276073932648,0.009213156066834927
NOG-FO,0.01,medium,12,True,52,54,3456,432,0.8119427857454866,962,61568,7696,5.944116523722187,0.008748495951294899
NOG-FO,0.01,medium,13,True,196,198,12672,1584,1.2775201220065355,962,61568,7696,5.659022847190499,0.008611652068793774
NOG-FO,0.01,medium,14,True,52,54,3456,432,0.44365953654050827,962,61568,7696,5.619560414925218,0.009460246190428734
