task_id,method,epsilon,region,worker_count,formal_seed,source,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO__fine__m2__seed6,NOG-FO,0.005,fine,2,6,run,False,,,,,61442,31458304,15729152,329.3378635928966,0.006237344350665808
NOG-FO__fine__m2__seed7,NOG-FO,0.005,fine,2,7,run,False,,,,,61442,31458304,15729152,332.48742171004415,0.007187082897871733
NOG-FO__fine__m2__seed8,NOG-FO,0.005,fine,2,8,run,False,,,,,61442,31458304,15729152,322.7012032743078,0.006828486453741789
NOG-FO__fine__m2__seed9,NOG-FO,0.005,fine,2,9,run,False,,,,,61442,31458304,15729152,342.8306348649785,0.007482253946363926
NOG-FO__fine__m4__seed0,NOG-FO,0.005,fine,4,0,run,False,,,,,61442,31458304,7864576,485.878565274179,0.0070650591515004635
NOG-FO__fine__m4__seed1,NOG-FO,0.005,fine,4,1,run,False,,,,,61442,31458304,7864576,459.37680910201743,0.006167126819491386
NOG-FO__fine__m4__seed2,NOG-FO,0.005,fine,4,2,run,False,,,,,61442,31458304,7864576,480.93680085847154,0.007139556109905243
NOG-FO__fine__m4__seed3,NOG-FO,0.005,fine,4,3,run,False,,,,,61442,31458304,7864576,483.59987334907055,0.0075140963308513165
NOG-FO__fine__m4__seed4,NOG-FO,0.005,fine,4,4,run,False,,,,,61442,31458304,7864576,482.0482372334227,0.006936720572412014
NOG-FO__fine__m4__seed5,NOG-FO,0.005,fine,4,5,run,False,,,,,61442,31458304,7864576,494.6938137477264,0.006510624196380377
NOG-FO__fine__m4__seed6,NOG-FO,0.005,fine,4,6,run,False,,,,,61442,31458304,7864576,479.8130343272351,0.006382373161613941
NOG-FO__fine__m4__seed7,NOG-FO,0.005,fine,4,7,run,False,,,,,61442,31458304,7864576,466.42711909953505,0.007226279936730862
NOG-FO__fine__m4__seed8,NOG-FO,0.005,fine,4,8,run,False,,,,,61442,31458304,7864576,483.27146334550343,0.0059082587249577045
NOG-FO__fine__m4__seed9,NOG-FO,0.005,fine,4,9,run,False,,,,,61442,31458304,7864576,480.2953484582249,0.007555636111646891
NOG-FO__fine__m8__seed0,NOG-FO,0.005,fine,8,0,reuse-formal,False,,,,,61442,31458304,3932288,656.3708682809956,0.006724645849317312
NOG-FO__fine__m8__seed1,NOG-FO,0.005,fine,8,1,reuse-formal,False,,,,,61442,31458304,3932288,649.8601421914063,0.006369575392454863
NOG-FO__fine__m8__seed2,NOG-FO,0.005,fine,8,2,reuse-formal,False,,,,,61442,31458304,3932288,653.8731739306822,0.006733762566000223
NOG-FO__fine__m8__seed3,NOG-FO,0.005,fine,8,3,reuse-formal,False,,,,,61442,31458304,3932288,648.2452485784888,0.0074996985495090485
NOG-FO__fine__m8__seed4,NOG-FO,0.005,fine,8,4,reuse-formal,False,,,,,61442,31458304,3932288,647.7081150158774,0.007654862478375435
NOG-FO__fine__m8__seed5,NOG-FO,0.005,fine,8,5,reuse-formal,False,,,,,61442,31458304,3932288,651.5756758386269,0.006679874379187822
NOG-FO__fine__m8__seed6,NOG-FO,0.005,fine,8,6,reuse-formal,False,,,,,61442,31458304,3932288,649.4307274809107,0.006209922954440117
NOG-FO__fine__m8__seed7,NOG-FO,0.005,fine,8,7,reuse-formal,False,,,,,61442,31458304,3932288,654.1344398951624,0.006934375036507845
NOG-FO__fine__m8__seed8,NOG-FO,0.005,fine,8,8,reuse-formal,False,,,,,61442,31458304,3932288,653.7205309583806,0.00636958796530962
NOG-FO__fine__m8__seed9,NOG-FO,0.005,fine,8,9,reuse-formal,False,,,,,61442,31458304,3932288,655.1763893093448,0.00751452473923564
ME-DOL-FO__coarse__m1__seed0,ME-DOL-FO,0.1,coarse,1,0,run,True,6,6,6,0.4217440190259367,960,960,960,1.8274602012243122,0.009209354408085346
ME-DOL-FO__coarse__m1__seed1,ME-DOL-FO,0.1,coarse,1,1,run,True,6,6,6,0.4328888771124184,960,960,960,1.8919573829043657,0.01058250479400158
ME-DOL-FO__coarse__m1__seed2,ME-DOL-FO,0.1,coarse,1,2,run,True,6,6,6,0.036493906984105706,960,960,960,1.8991715202573687,0.009776394814252853
ME-DOL-FO__coarse__m1__seed3,ME-DOL-FO,0.1,coarse,1,3,run,True,6,6,6,0.03431317117065191,960,960,960,1.8788419743068516,0.010446951724588871
ME-DOL-FO__coarse__m1__seed4,ME-DOL-FO,0.1,coarse,1,4,run,True,6,6,6,0.03906914102844894,960,960,960,1.9238670342601836,0.01068960502743721
