formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors,task_id,region,epsilon,source
NOG-FO__medium__m1__seed0,NOG-FO,0,1,960,21,fb58a7f2ea1f99a9677f874c23ce693a66a8ead65134dd9d8c5fac9aabb6c0bd,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed0,medium,0.01,run
NOG-FO__medium__m1__seed1,NOG-FO,1,1,960,21,92c4f03abb7d8c4cbb8343293553ecbdeec6c6957a78055457b61a35f1bebfac,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed1,medium,0.01,run
NOG-FO__medium__m1__seed2,NOG-FO,2,1,960,21,f531d25f5c7fa93176eaa235e5be70521aff8ef61a2c756bb559aadbfdbc6a67,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed2,medium,0.01,run
NOG-FO__medium__m1__seed3,NOG-FO,3,1,960,21,fcbd69485bbdec735f511e95247cecd2111950c607946251b54d4d486aa301a3,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed3,medium,0.01,run
NOG-FO__medium__m1__seed4,NOG-FO,4,1,960,21,592063005254ff5f80a31dc2d106d0e0dbe05b67a408a05eab4e4bc96f1b6e43,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed4,medium,0.01,run
NOG-FO__medium__m1__seed5,NOG-FO,5,1,960,21,65c52f48ca0cc408e5e202ce5663ad2ce3b66abf2454141effcf5393a2019630,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed5,medium,0.01,run
NOG-FO__medium__m1__seed6,NOG-FO,6,1,960,21,f3d612f59f5686b748ff9fb0b21d1c2d350ece6e183dd9aca853fa6bb69a2b75,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed6,medium,0.01,run
NOG-FO__medium__m1__seed7,NOG-FO,7,1,960,21,32bdcf671402315db7a3cf8be4b4c52114b8ff47bc6c0be43115e79b70929a70,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed7,medium,0.01,run
NOG-FO__medium__m1__seed8,NOG-FO,8,1,960,21,566ea4cbcc29622e7f17747f4e88d773aa2000f5dd748965f6ae690b598dbc96,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed8,medium,0.01,run
NOG-FO__medium__m1__seed9,NOG-FO,9,1,960,21,8af378258e6adccee4b0c2b963095644a83d48bdc1ccf7e80d79b78b9aeffc22,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__medium__m1__seed9,medium,0.01,run
NOG-FO__medium__m2__seed0,NOG-FO,0,2,960,21,58e8e2e0d0a558eb4a331ff99cd31d206802d2d7a08f568ec74c4735cc6f58ac,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed0,medium,0.01,run
NOG-FO__medium__m2__seed1,NOG-FO,1,2,960,21,ff36100827677dc791c0568b91aacb19a2185fca5a5724ec7a30226ef0187a4a,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed1,medium,0.01,run
NOG-FO__medium__m2__seed2,NOG-FO,2,2,960,21,6a6d112938bcd220c0b68c0cefa22ff5087e5aae0217b5f377dbeecb5ad51864,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed2,medium,0.01,run
NOG-FO__medium__m2__seed3,NOG-FO,3,2,960,21,e1cfe52f306c99cb5977c2c6c0c69166cff1655c1cfeae8ee2af4598b5a7e429,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed3,medium,0.01,run
NOG-FO__medium__m2__seed4,NOG-FO,4,2,960,21,55d00d8b96377379851d06f70e1a67852003d34d4227965784667fe7d752f1ec,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed4,medium,0.01,run
