method,epsilon,seed_count,hit_count,hit_rate,first_hit_depth_mean,first_hit_depth_sd,first_hit_work_mean,first_hit_work_sd,capped_depth_mean,capped_depth_sd,capped_work_mean,capped_work_sd,source,scope
v4_NOG-FO,0.009,20,20,1,451.4,68.7331989,7222.4,1099.731182,451.4,,7222.4,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.008,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.008,20,1,0.05,866,,6928,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.008,20,18,0.9,626.1111111,152.680323,10017.77778,2442.885169,659.7,,10555.2,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.007,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.007,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.007,20,2,0.1,843,91.92388155,13488,1470.782105,950.1,,15201.6,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.006,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.006,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.006,20,0,0,,,,,962,,15392,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.005,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.005,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.005,20,0,0,,,,,962,,15392,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.004,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.004,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.004,20,0,0,,,,,962,,15392,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.003,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.003,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.003,20,0,0,,,,,962,,15392,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.002,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.002,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.002,20,0,0,,,,,962,,15392,,theory_validation_v4_formal_summary,exploratory_censored
