baseline,ratio_direction,epsilon,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
DGFM+,DGFM+/NOG-ZO,0.14,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.249460188933872,0.265764552839584,4.136302294197031,4.3647098515519565,0.5669049426450742,0.034865468403630154,0.5535361842105264,0.5824506578947368
DGFM+,DGFM+/NOG-ZO,0.12,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.460627177700348,0.2445551740646626,4.355858013937284,4.566117886178862,0.5942726480836236,0.032616709093190664,0.580116643074913,0.6084844112950059
DGFM+,DGFM+/NOG-ZO,0.1,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.8385990338164255,0.2742475640153635,4.718599033816425,4.954175120772947,0.6445667270531401,0.03675181610507129,0.6292291666666666,0.6609070425724637
DGFM+,DGFM+/NOG-ZO,0.09,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.043570767807585,0.2766088363580308,4.930779370952822,5.165957446808511,0.6717796022201664,0.03668572990438098,0.6574179000925069,0.6882347074468083
DGFM+,DGFM+/NOG-ZO,0.08,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.297406462585034,0.29182168500154176,5.174264455782313,5.420674957482993,0.7054634353741497,0.038937052834041766,0.6902209887861395,0.7233220397534014
DGFM+,DGFM+/NOG-ZO,0.07,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.645999999999999,0.3586822845388832,5.493988235294118,5.805808823529411,0.7515882352941177,0.047673528509273304,0.7304361213235294,0.7710447610294117
DGFM+,DGFM+/NOG-ZO,0.06,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.9937590711175615,0.37103097462440293,5.8422958998548635,6.150507982583454,0.79730587808418,0.04931777169465139,0.7765014116926706,0.8173084576832366
DGFM+,DGFM+/NOG-ZO,0.05,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.575401816911251,0.4812612821218665,6.365869147449335,6.792103424178896,0.8747357617051014,0.06428679062800167,0.8478427727550665,0.9029453015810623
DGFM+,DGFM+/NOG-ZO,0.04,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.523474025974025,0.58784647496738,7.256194805194806,7.770432629870132,1.0007234172077921,0.07850435530087436,0.9662374695616882,1.0330300071022729
DGFM+,DGFM+/NOG-ZO,0.03,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",11.3870538415003,2.5118728015252727,10.371560798548094,12.461166061705988,1.5140350877192983,0.3337207461428542,1.3778731851179673,1.6596027346113125
DGFM+,DGFM+/NOG-ZO,0.025,1,20,False,18,13.310344827586206,0.0,13.310344827586206,13.310344827586206,1.7704741379310345,0.0,1.7704741379310345,1.7704741379310345
DGFM+,DGFM+/NOG-ZO,0.02,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.018,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.016,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.015,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.014,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.013,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.012,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.0115,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.011,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.01075,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.0105,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.01025,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.01,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.0095,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.009,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.008,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.007,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.006,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.005,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.004,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.003,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.002,0,20,False,,,,,,,,,
