method,formal_seed,checkpoints,final_depth,final_work,median_depth_gap,max_depth_gap,median_work_gap,max_work_gap,raw_floor,raw_floor_depth,raw_floor_work,raw_floor_work_fraction,confirmed_floor,confirmed_floor_depth,confirmed_floor_work,confirmed_floor_work_fraction,raw_to_confirmed_floor_gap,final_proxy,final_over_confirmed_floor,last_20_percent_proxy_slope,tail_improving,early_rebound,late_floor,extension_outlook
DGFM+,8,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0287925396114587,3912,532224,0.54140625,0.0288070924580097,3904,531200,0.5403645833333334,1.4552846551000448e-05,0.0308905839920043,1.0723256447012686,0.02101869379768445,False,False,False,extension_uncertain
DGFM+,9,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0268065370619297,2304,313344,0.31875,0.026837034150958,2296,312320,0.3177083333333333,3.049708902829948e-05,0.0295380353927612,1.1006445506090614,-0.013660325140292142,True,False,False,extension_plausible_but_unproven
DGFM+,10,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0278348699212074,6720,913920,0.9296875,0.0278521589934825,6712,912896,0.9286458333333333,1.7289072275099293e-05,0.0283752847462892,1.018782233468117,0.0026426574978424245,False,False,True,extension_plausible_but_unproven
DGFM+,11,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0255181528627872,5192,706816,0.7190104166666667,0.0255203992128372,5184,705024,0.7171875,2.2463500499968203e-06,0.0296503920108079,1.1618310420431528,0.005279890142449715,False,False,False,extension_uncertain
DGFM+,12,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0276581142097711,3128,425728,0.43307291666666664,0.0276675093919038,3128,425728,0.43307291666666664,9.39518213270013e-06,0.0305179413408041,1.1030245226819877,0.0019806847301575598,False,False,False,extension_uncertain
DGFM+,13,904,7224,983040,8.0,8.0,1024.0,1792.0,0.026390928775072,7224,983040,1.0,0.0264465510845184,7216,982016,0.9989583333333333,5.562230944640076e-05,0.026390928775072,0.9978968029037646,-0.014974879703584291,True,False,True,extension_plausible_but_unproven
DGFM+,14,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0262400265783071,6968,947968,0.9643229166666667,0.0262486860156059,6960,946944,0.96328125,8.659437298799005e-06,0.027077866718173,1.0315894175454772,-0.016676739171767804,True,False,True,extension_plausible_but_unproven
DGFM+,15,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0252853035926818,4440,604416,0.61484375,0.0253078956156969,4440,604416,0.61484375,2.2592023015098606e-05,0.0310759842395782,1.2279165645168741,0.008710267895586273,False,False,False,extension_uncertain
DGFM+,16,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0251209232956171,7088,964096,0.9807291666666667,0.0251213386654853,7088,964096,0.9807291666666667,4.1536986819870614e-07,0.0262229945510625,1.0438533909457137,-0.008351801549011773,True,False,True,extension_plausible_but_unproven
DGFM+,17,904,7224,983040,8.0,8.0,1024.0,1792.0,0.027723366394639,6304,857600,0.8723958333333334,0.0277260392904281,6304,857600,0.8723958333333334,2.672895789097851e-06,0.0296767111867666,1.0703552309042546,0.008155059133933716,False,False,True,extension_plausible_but_unproven
DGFM+,18,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0246887989342212,3304,449792,0.45755208333333336,0.0246973540633916,3296,448768,0.45651041666666664,8.555129170400438e-06,0.0292372964322567,1.1838230264348264,0.010163407201037061,False,False,False,extension_uncertain
DGFM+,19,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0260621774941682,6544,890624,0.9059895833333333,0.0260669756680727,6536,889600,0.9049479166666666,4.798173904502212e-06,0.0281486734747886,1.0798595829920385,-0.008475312118203486,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,0,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0119118718430399,2556,654336,0.665625,0.0120432283729314,2544,651264,0.6625,0.00013135652989150134,0.0137802446261048,1.1442317790035064,0.003802081522269165,False,False,False,extension_uncertain
ME-DOL-ZO,1,320,3840,983040,12.0,12.0,3072.0,3072.0,0.01299499720335,3576,915456,0.93125,0.0131890997290611,3564,912384,0.928125,0.0001941025257111012,0.0141873126849532,1.0756846923897785,-0.0022481709937036635,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,2,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0125258350744843,2988,764928,0.778125,0.0126033537089824,3804,973824,0.990625,7.751863449810027e-05,0.012910446152091,1.0243659307038042,-0.0014815552726440994,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,3,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0121872751042246,1824,466944,0.475,0.0122072910889983,1812,463872,0.471875,2.001598477370005e-05,0.0150372860953211,1.2318282562192118,-0.00531891488466719,True,False,False,extension_plausible_but_unproven
ME-DOL-ZO,4,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0129398219287395,3216,823296,0.8375,0.0130283301696181,3216,823296,0.8375,8.850824087860108e-05,0.01415457110852,1.0864455324849134,0.008109585180769452,False,False,True,extension_plausible_but_unproven
ME-DOL-ZO,5,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0131190624088048,2616,669696,0.68125,0.0132522219792008,2616,669696,0.68125,0.00013315957039600028,0.0139787187799811,1.05482075397775,0.0014447834847610718,False,False,False,extension_uncertain
ME-DOL-ZO,6,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0129753369837999,3744,958464,0.975,0.0130854584276676,3504,897024,0.9125,0.00011012144386770076,0.0136973606422543,1.0467620005801943,-0.005862852879168711,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,7,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0125534767284989,3804,973824,0.990625,0.0126352617517113,3792,970752,0.9875,8.17850232123999e-05,0.0131427776068449,1.0401666277364507,-0.009211675390164369,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,8,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0123656336218118,1572,402432,0.409375,0.012551519088447,1572,402432,0.409375,0.00018588546663519945,0.0146667743101716,1.1685258339503766,-0.0014726859705023172,True,False,False,extension_plausible_but_unproven
ME-DOL-ZO,9,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0123437503352761,1980,506880,0.515625,0.0125550106167793,1980,506880,0.515625,0.0002112602815031988,0.0143671091645956,1.1443326973690089,-0.0020382779244428155,True,False,False,extension_plausible_but_unproven
ME-DOL-ZO,10,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0131792295724153,3312,847872,0.8625,0.0132452733814716,3300,844800,0.859375,6.604380905629939e-05,0.0141429519280791,1.0677735008371543,-0.0011481365441402503,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,11,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0130586577579379,2652,678912,0.690625,0.0131416078656911,2640,675840,0.6875,8.29501077532005e-05,0.014702683314681,1.118788771126356,0.008237274152127811,False,False,False,extension_uncertain
ME-DOL-ZO,12,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0133412554860115,2808,718848,0.73125,0.0133486744016408,2808,718848,0.73125,7.418915629300166e-06,0.0158276166766881,1.1857069998458118,0.005602409449088642,False,False,False,extension_uncertain
ME-DOL-ZO,13,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0122767658904194,2208,565248,0.575,0.0124169019982218,1848,473088,0.48125,0.00014013610780239973,0.0150331277400255,1.2106987509588434,0.003434131304040896,False,False,False,extension_uncertain
ME-DOL-ZO,14,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0122730322182178,1548,396288,0.403125,0.0122998049482703,1548,396288,0.403125,2.677273005250065e-05,0.0150409443303942,1.2228603944251475,0.0024420653875822087,False,False,False,extension_uncertain
ME-DOL-ZO,15,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0128017049282789,2796,715776,0.728125,0.0128134759142994,2796,715776,0.728125,1.1770986020499113e-05,0.0145932585000991,1.1388992805467817,0.00523404162308904,False,False,False,extension_uncertain
ME-DOL-ZO,16,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0130381984636187,3204,820224,0.834375,0.0131137566640973,3204,820224,0.834375,7.555820047860061e-05,0.0154956663027405,1.1816344240368868,0.011719757882066346,False,False,True,extension_plausible_but_unproven
ME-DOL-ZO,17,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0119681367650628,3732,955392,0.971875,0.0119737861678004,3720,952320,0.96875,5.6494027376001454e-06,0.0132510000839829,1.106667506692006,-0.004568768603788489,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,18,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0126036442816257,3780,967680,0.984375,0.0126564549282193,3780,967680,0.984375,5.2810646593598465e-05,0.0136828403919935,1.0810958099716954,-0.005791651726369466,True,False,True,extension_plausible_but_unproven
ME-DOL-ZO,19,320,3840,983040,12.0,12.0,3072.0,3072.0,0.0118190757930278,2088,534528,0.54375,0.0120611330494284,2220,568320,0.578125,0.0002420572564006008,0.0133026493713259,1.102935297770912,-0.0005070771066805762,True,False,False,extension_plausible_but_unproven
NOG-ZO,0,240,960,983040,4.0,4.0,4096.0,4096.0,0.0140111437067389,248,253952,0.25833333333333336,0.0145407682284712,248,253952,0.25833333333333336,0.0005296245217322991,0.0297991596162319,2.0493524927991342,-0.004607219777959305,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,1,240,960,983040,4.0,4.0,4096.0,4096.0,0.0141480602324008,248,253952,0.25833333333333336,0.0143285598605871,244,249856,0.25416666666666665,0.00018049962818629875,0.0258286781609058,1.8026011275530585,-0.010027740534056986,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,2,240,960,983040,4.0,4.0,4096.0,4096.0,0.0148586509749293,244,249856,0.25416666666666665,0.0152590740472078,244,249856,0.25416666666666665,0.0004004230722784996,0.0273616258054971,1.7931380187845607,-0.010063830420174377,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,3,240,960,983040,4.0,4.0,4096.0,4096.0,0.0131074301898479,248,253952,0.25833333333333336,0.0132242124527692,244,249856,0.25416666666666665,0.00011678226292130035,0.0325796194374561,2.463634001178937,0.030826853375511543,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,4,240,960,983040,4.0,4.0,4096.0,4096.0,0.0146586652845144,248,253952,0.25833333333333336,0.0151370866224169,244,249856,0.25416666666666665,0.0004784213379025008,0.0298941358923912,1.9748936263679835,0.01608066708884756,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,5,240,960,983040,4.0,4.0,4096.0,4096.0,0.0144581673666834,244,249856,0.25416666666666665,0.0149975987151265,244,249856,0.25416666666666665,0.0005394313484431007,0.029286965727806,1.9527769934441117,0.011760366177149897,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,6,240,960,983040,4.0,4.0,4096.0,4096.0,0.0137605490162968,244,249856,0.25416666666666665,0.0145529387518763,244,249856,0.25416666666666665,0.0007923897355795011,0.0313295908272266,2.1528016685418465,0.007896501857251914,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,7,240,960,983040,4.0,4.0,4096.0,4096.0,0.0147504610940814,248,253952,0.25833333333333336,0.0151766175404191,244,249856,0.25416666666666665,0.0004261564463376999,0.0271176379173994,1.7868038016493726,-0.002618290773498588,True,True,False,extension_unlikely_without_stability_change
