method,epsilon,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_capped_depth,sd_capped_depth,mean_capped_work,sd_capped_work
NOG-ZO,0.011,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.01075,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.0105,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.01025,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.01,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.0095,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.009,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.008,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.007,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.006,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.005,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.004,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.003,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.002,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
ME-DOL-ZO,0.2,20,20,1.0,165.0,5.331139899831832,42240.0,1364.7718143569489,165.0,5.331139899831832,42240.0,1364.7718143569489
ME-DOL-ZO,0.18,20,20,1.0,199.2,6.0314962794004146,50995.2,1544.0630475265061,199.2,6.0314962794004146,50995.2,1544.0630475265061
ME-DOL-ZO,0.16,20,20,1.0,228.6,8.235992893839116,58521.6,2108.4141808228137,228.6,8.235992893839116,58521.6,2108.4141808228137
ME-DOL-ZO,0.14,20,20,1.0,261.6,7.3870441350131095,66969.6,1891.083298563356,261.6,7.3870441350131095,66969.6,1891.083298563356
ME-DOL-ZO,0.12,20,20,1.0,299.4,8.235992893839116,76646.4,2108.4141808228137,299.4,8.235992893839116,76646.4,2108.4141808228137
ME-DOL-ZO,0.1,20,20,1.0,340.2,8.049844718999243,87091.2,2060.760248063806,340.2,8.049844718999243,87091.2,2060.760248063806
ME-DOL-ZO,0.09,20,20,1.0,363.6,8.792341164780558,93081.6,2250.8393381838227,363.6,8.792341164780558,93081.6,2250.8393381838227
ME-DOL-ZO,0.08,20,20,1.0,390.6,11.334158896659991,99993.6,2901.5446775449577,390.6,11.334158896659991,99993.6,2901.5446775449577
ME-DOL-ZO,0.07,20,20,1.0,420.0,12.912662084375288,107520.0,3305.6414936000738,420.0,12.912662084375288,107520.0,3305.6414936000738
ME-DOL-ZO,0.06,20,20,1.0,453.0,13.969892438270314,115968.0,3576.2924641972004,453.0,13.969892438270314,115968.0,3576.2924641972004
ME-DOL-ZO,0.05,20,20,1.0,496.2,15.70651892820638,127027.2,4020.8688456208333,496.2,15.70651892820638,127027.2,4020.8688456208333
ME-DOL-ZO,0.04,20,20,1.0,549.0,20.183369913189214,140544.0,5166.942697776439,549.0,20.183369913189214,140544.0,5166.942697776439
ME-DOL-ZO,0.03,20,20,1.0,622.8,26.377023494341675,159436.8,6752.518014551469,622.8,26.377023494341675,159436.8,6752.518014551469
ME-DOL-ZO,0.025,20,20,1.0,687.0,33.463255575096255,175872.0,8566.593427224641,687.0,33.463255575096255,175872.0,8566.593427224641
ME-DOL-ZO,0.02,20,20,1.0,780.6,47.28012823920626,199833.6,12103.712829236803,780.6,47.28012823920626,199833.6,12103.712829236803
ME-DOL-ZO,0.018,20,20,1.0,852.0,58.399711607074515,218112.0,14950.326171411076,852.0,58.399711607074515,218112.0,14950.326171411076
ME-DOL-ZO,0.016,20,20,1.0,991.8,128.79015980717585,253900.8,32970.28091063702,991.8,128.79015980717585,253900.8,32970.28091063702
ME-DOL-ZO,0.015,20,20,1.0,1247.4,321.2980908096012,319334.4,82252.31124725791,1247.4,321.2980908096012,319334.4,82252.31124725791
ME-DOL-ZO,0.014,20,20,1.0,1860.0,667.1327493558969,476160.0,170785.9838351096,1860.0,667.1327493558969,476160.0,170785.9838351096
ME-DOL-ZO,0.013,20,12,0.6,2270.0,803.5005232786665,581120.0,205696.13395933862,2898.0,998.2422446216992,741888.0,255550.014623155
ME-DOL-ZO,0.012,20,1,0.05,3720.0,0.0,952320.0,0.0,3834.0,26.832815729997478,981504.0,6869.200826879354
ME-DOL-ZO,0.0115,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.011,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.01075,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.0105,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.01025,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.01,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.0095,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.009,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.008,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.007,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.006,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.005,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.004,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.003,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
ME-DOL-ZO,0.002,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
DGFM,0.2,20,20,1.0,367.6,10.850175841407992,47052.8,1388.822507700223,367.6,10.850175841407992,47052.8,1388.822507700223
DGFM,0.18,20,20,1.0,457.2,11.095755471065692,58521.6,1420.2567002964086,457.2,11.095755471065692,58521.6,1420.2567002964086
DGFM,0.16,20,20,1.0,546.4,12.474816737394539,69939.2,1596.776542386501,546.4,12.474816737394539,69939.2,1596.776542386501
DGFM,0.14,20,20,1.0,640.4,15.239836993188193,81971.2,1950.6991351280888,640.4,15.239836993188193,81971.2,1950.6991351280888
DGFM,0.12,20,20,1.0,740.0,15.681031115398797,94720.0,2007.171982771046,740.0,15.681031115398797,94720.0,2007.171982771046
DGFM,0.1,20,20,1.0,855.2,14.659647443165019,109465.6,1876.4348727251224,855.2,14.659647443165019,109465.6,1876.4348727251224
DGFM,0.09,20,20,1.0,922.8,19.47089595970571,118118.4,2492.274682842331,922.8,19.47089595970571,118118.4,2492.274682842331
DGFM,0.08,20,20,1.0,996.8,18.24280680158621,127590.4,2335.0792706030347,996.8,18.24280680158621,127590.4,2335.0792706030347
DGFM,0.07,20,20,1.0,1080.0,18.71672485969926,138240.0,2395.740782041505,1080.0,18.71672485969926,138240.0,2395.740782041505
DGFM,0.06,20,20,1.0,1173.2,22.51923154713953,150169.6,2882.46163803386,1173.2,22.51923154713953,150169.6,2882.46163803386
DGFM,0.05,20,20,1.0,1296.0,26.08488168713017,165888.0,3338.864855952662,1296.0,26.08488168713017,165888.0,3338.864855952662
DGFM,0.04,20,20,1.0,1442.0,30.36618618064993,184576.0,3886.871831123191,1442.0,30.36618618064993,184576.0,3886.871831123191
DGFM,0.03,20,20,1.0,1652.4,50.0256776171261,211507.2,6403.286734992141,1652.4,50.0256776171261,211507.2,6403.286734992141
DGFM,0.025,20,20,1.0,1792.8,57.213910711883415,229478.4,7323.380571121077,1792.8,57.213910711883415,229478.4,7323.380571121077
DGFM,0.02,20,20,1.0,1993.6,78.4094516322054,255180.8,10036.409808922292,1993.6,78.4094516322054,255180.8,10036.409808922292
DGFM,0.018,20,20,1.0,2111.6,95.31245017254953,270284.8,12199.99362208634,2111.6,95.31245017254953,270284.8,12199.99362208634
DGFM,0.016,20,20,1.0,2270.0,112.1465207006582,290560.0,14354.75464968425,2270.0,112.1465207006582,290560.0,14354.75464968425
DGFM,0.015,20,20,1.0,2392.8,120.12344527719456,306278.4,15375.800995480904,2392.8,120.12344527719456,306278.4,15375.800995480904
DGFM,0.014,20,20,1.0,2523.6,144.50146602789374,323020.8,18496.1876515704,2523.6,144.50146602789374,323020.8,18496.1876515704
DGFM,0.013,20,20,1.0,2697.2,187.5138170347651,345241.6,24001.768580449934,2697.2,187.5138170347651,345241.6,24001.768580449934
DGFM,0.012,20,20,1.0,3236.4,500.45183794773214,414259.2,64057.835257309715,3236.4,500.45183794773214,414259.2,64057.835257309715
DGFM,0.0115,20,20,1.0,3856.0,919.6283001986812,493568.0,117712.4224254312,3856.0,919.6283001986812,493568.0,117712.4224254312
DGFM,0.011,20,20,1.0,4770.4,1163.5332035612364,610611.2,148932.25005583826,4770.4,1163.5332035612364,610611.2,148932.25005583826
DGFM,0.01075,20,16,0.8,4857.0,1111.5370739056195,621696.0,142276.7454599193,5421.6,1522.369565754926,693964.8,194863.30441663053
DGFM,0.0105,20,10,0.5,5504.0,1326.9768481610956,704512.0,169853.03656462024,6592.0,1442.2695565268687,843776.0,184610.5032354392
DGFM,0.01025,20,4,0.2,5790.0,1637.290444606576,741120.0,209573.17690964174,7302.0,1012.3677301517624,934656.0,129583.06945942559
DGFM,0.01,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.0095,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.009,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.008,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.007,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.006,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.005,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.004,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.003,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM,0.002,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
DGFM+,0.2,20,20,1.0,364.0,31.84171378619727,49856.0,4330.846422680225,364.0,31.84171378619727,49856.0,4330.846422680225
DGFM+,0.18,20,20,1.0,454.8,37.36815418733472,62169.6,5102.640043205704,454.8,37.36815418733472,62169.6,5102.640043205704
DGFM+,0.16,20,20,1.0,544.4,38.80097665618333,74368.0,5236.89711264419,544.4,38.80097665618333,74368.0,5236.89711264419
DGFM+,0.14,20,20,1.0,646.8,41.14365078599613,88358.4,5535.806263722899,646.8,41.14365078599613,88358.4,5535.806263722899
DGFM+,0.12,20,20,1.0,747.6,41.40480521312523,101990.4,5656.078671380209,747.6,41.40480521312523,101990.4,5656.078671380209
DGFM+,0.1,20,20,1.0,872.0,51.257862041375,118950.4,7037.99090949294,872.0,51.257862041375,118950.4,7037.99090949294
DGFM+,0.09,20,20,1.0,947.2,52.51726533145778,129190.4,7132.435078384409,947.2,52.51726533145778,129190.4,7132.435078384409
DGFM+,0.08,20,20,1.0,1028.0,63.072222595671185,140185.6,8610.129104723112,1028.0,63.072222595671185,140185.6,8610.129104723112
DGFM+,0.07,20,20,1.0,1131.6,74.617903876666,154252.8,10163.749792897874,1131.6,74.617903876666,154252.8,10163.749792897874
DGFM+,0.06,20,20,1.0,1248.0,79.19595949289332,169996.8,10783.86456263538,1248.0,79.19595949289332,169996.8,10783.86456263538
DGFM+,0.05,20,20,1.0,1410.0,107.17030224931965,192076.8,14661.942808006828,1410.0,107.17030224931965,192076.8,14661.942808006828
DGFM+,0.04,20,20,1.0,1666.0,134.99005811345398,226918.4,18448.722239023264,1666.0,134.99005811345398,226918.4,18448.722239023264
DGFM+,0.03,20,20,1.0,2609.6,574.6334667008455,355302.4,78175.37960414795,2609.6,574.6334667008455,355302.4,78175.37960414795
DGFM+,0.025,20,1,0.05,3088.0,0.0,420608.0,0.0,7017.2,924.837715493913,954918.4,125763.61847211617
DGFM+,0.02,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.018,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.016,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.015,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.014,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.013,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.012,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.0115,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.011,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.01075,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.0105,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.01025,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.01,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.0095,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.009,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.008,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.007,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.006,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.005,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.004,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.003,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
DGFM+,0.002,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
