method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,4,0.05,True,216.0,221184.0,0.0471812523901462,960.0,983040.0,216.0,221184.0
NOG-ZO,4,0.04,True,224.0,229376.0,0.0359282717108726,960.0,983040.0,224.0,229376.0
NOG-ZO,4,0.03,True,232.0,237568.0,0.0261211208999156,960.0,983040.0,232.0,237568.0
NOG-ZO,4,0.025,True,236.0,241664.0,0.0214290656149387,960.0,983040.0,236.0,241664.0
NOG-ZO,4,0.02,True,240.0,245760.0,0.0173985455185174,960.0,983040.0,240.0,245760.0
NOG-ZO,4,0.018,True,240.0,245760.0,0.0173985455185174,960.0,983040.0,240.0,245760.0
NOG-ZO,4,0.016,True,244.0,249856.0,0.0151370866224169,960.0,983040.0,244.0,249856.0
NOG-ZO,4,0.015,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.2,True,104.0,106496.0,0.1979302018880844,960.0,983040.0,104.0,106496.0
NOG-ZO,5,0.18,True,124.0,126976.0,0.1753080785274505,960.0,983040.0,124.0,126976.0
NOG-ZO,5,0.16,True,140.0,143360.0,0.1555184125900268,960.0,983040.0,140.0,143360.0
NOG-ZO,5,0.14,True,152.0,155648.0,0.1387002021074295,960.0,983040.0,152.0,155648.0
NOG-ZO,5,0.12,True,168.0,172032.0,0.1156276166439056,960.0,983040.0,168.0,172032.0
NOG-ZO,5,0.1,True,180.0,184320.0,0.0979142114520073,960.0,983040.0,180.0,184320.0
NOG-ZO,5,0.09,True,188.0,192512.0,0.0861841663718223,960.0,983040.0,188.0,192512.0
NOG-ZO,5,0.08,True,192.0,196608.0,0.0798490867018699,960.0,983040.0,192.0,196608.0
NOG-ZO,5,0.07,True,200.0,204800.0,0.0682349354028701,960.0,983040.0,200.0,204800.0
NOG-ZO,5,0.06,True,208.0,212992.0,0.055677156895399,960.0,983040.0,208.0,212992.0
NOG-ZO,5,0.05,True,216.0,221184.0,0.0443415641784668,960.0,983040.0,216.0,221184.0
NOG-ZO,5,0.04,True,220.0,225280.0,0.03881062194705,960.0,983040.0,220.0,225280.0
NOG-ZO,5,0.03,True,228.0,233472.0,0.0282260160893201,960.0,983040.0,228.0,233472.0
NOG-ZO,5,0.025,True,232.0,237568.0,0.0232904180884361,960.0,983040.0,232.0,237568.0
NOG-ZO,5,0.02,True,236.0,241664.0,0.0188092160969972,960.0,983040.0,236.0,241664.0
NOG-ZO,5,0.018,True,240.0,245760.0,0.0160153452306985,960.0,983040.0,240.0,245760.0
NOG-ZO,5,0.016,True,244.0,249856.0,0.0144581673666834,960.0,983040.0,244.0,249856.0
NOG-ZO,5,0.015,True,244.0,249856.0,0.0144581673666834,960.0,983040.0,244.0,249856.0
