method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds,candidate_id,candidate_parameters,batch_size,epoch_length,domain_radius,theory_multiplier
DGFM+,DGFM+,480,480,8,x_bar,59.316529750823975,101,100101,200101,845318908,szo,276480,276480,34560,"[34560, 34560, 34560, 34560, 34560, 34560, 34560, 34560]",90112,960,960,0.7268091440200806,0.0103706866502761,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,1,1,8,x_bar,0.523033618927002,100,100100,200100,1225827990,szo,2048,2048,256,"[256, 256, 256, 256, 256, 256, 256, 256]",8192,2,2,0.7314548492431641,0.0098370676860213,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,48,48,8,x_bar,3.585856914520264,100,100100,200100,1225827990,szo,15872,15872,1984,"[1984, 1984, 1984, 1984, 1984, 1984, 1984, 1984]",16384,96,96,0.7314916253089905,0.0113204438239336,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,96,96,8,x_bar,7.064763784408569,100,100100,200100,1225827990,szo,31744,31744,3968,"[3968, 3968, 3968, 3968, 3968, 3968, 3968, 3968]",24576,192,192,0.731510579586029,0.010904973372817,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,144,144,8,x_bar,10.505999326705933,100,100100,200100,1225827990,szo,47616,47616,5952,"[5952, 5952, 5952, 5952, 5952, 5952, 5952, 5952]",32768,288,288,0.7315223813056946,0.0101245120167732,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,192,192,8,x_bar,13.948466777801514,100,100100,200100,1225827990,szo,63488,63488,7936,"[7936, 7936, 7936, 7936, 7936, 7936, 7936, 7936]",40960,384,384,0.7315377593040466,0.0108828917145729,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,240,240,8,x_bar,17.41724467277527,100,100100,200100,1225827990,szo,79360,79360,9920,"[9920, 9920, 9920, 9920, 9920, 9920, 9920, 9920]",49152,480,480,0.7315497398376465,0.0105417612940073,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,288,288,8,x_bar,20.915713787078857,100,100100,200100,1225827990,szo,95232,95232,11904,"[11904, 11904, 11904, 11904, 11904, 11904, 11904, 11904]",57344,576,576,0.7315536141395569,0.0101098800078034,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,336,336,8,x_bar,24.365435361862183,100,100100,200100,1225827990,szo,111104,111104,13888,"[13888, 13888, 13888, 13888, 13888, 13888, 13888, 13888]",65536,672,672,0.7315661907196045,0.0109478076919913,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,384,384,8,x_bar,27.8092839717865,100,100100,200100,1225827990,szo,126976,126976,15872,"[15872, 15872, 15872, 15872, 15872, 15872, 15872, 15872]",73728,768,768,0.731574535369873,0.0106874778866767,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,432,432,8,x_bar,31.26132678985596,100,100100,200100,1225827990,szo,142848,142848,17856,"[17856, 17856, 17856, 17856, 17856, 17856, 17856, 17856]",81920,864,864,0.731575071811676,0.0102607095614075,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,480,480,8,x_bar,34.70440483093262,100,100100,200100,1225827990,szo,158720,158720,19840,"[19840, 19840, 19840, 19840, 19840, 19840, 19840, 19840]",90112,960,960,0.731573224067688,0.0100859338417649,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,1,1,8,x_bar,0.4911246299743652,101,100101,200101,845318908,szo,2048,2048,256,"[256, 256, 256, 256, 256, 256, 256, 256]",8192,2,2,0.7267054319381714,0.0103661585599184,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,48,48,8,x_bar,3.5122478008270264,101,100101,200101,845318908,szo,15872,15872,1984,"[1984, 1984, 1984, 1984, 1984, 1984, 1984, 1984]",16384,96,96,0.7267540097236633,0.0101698981598019,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,96,96,8,x_bar,6.944971323013306,101,100101,200101,845318908,szo,31744,31744,3968,"[3968, 3968, 3968, 3968, 3968, 3968, 3968, 3968]",24576,192,192,0.7267627716064453,0.0113949254155159,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,144,144,8,x_bar,10.38688588142395,101,100101,200101,845318908,szo,47616,47616,5952,"[5952, 5952, 5952, 5952, 5952, 5952, 5952, 5952]",32768,288,288,0.7267650961875916,0.0118862995877861,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,192,192,8,x_bar,13.810211896896362,101,100101,200101,845318908,szo,63488,63488,7936,"[7936, 7936, 7936, 7936, 7936, 7936, 7936, 7936]",40960,384,384,0.7267749309539795,0.0115642081946134,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,240,240,8,x_bar,17.24751853942871,101,100101,200101,845318908,szo,79360,79360,9920,"[9920, 9920, 9920, 9920, 9920, 9920, 9920, 9920]",49152,480,480,0.7267744541168213,0.010583589784801,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,288,288,8,x_bar,20.67251181602478,101,100101,200101,845318908,szo,95232,95232,11904,"[11904, 11904, 11904, 11904, 11904, 11904, 11904, 11904]",57344,576,576,0.7267727851867676,0.011968214996159,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,336,336,8,x_bar,24.098167896270752,101,100101,200101,845318908,szo,111104,111104,13888,"[13888, 13888, 13888, 13888, 13888, 13888, 13888, 13888]",65536,672,672,0.7267734408378601,0.0107834879308938,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
