dataset,method,budget_view,target_index,target_budget,epsilon_mean,epsilon_std,epsilon_ci95_low,epsilon_ci95_high,actual_budget_min,actual_budget_max,seed_count,clipped_above_0p05
ijcnn1,ME-DOL-ZO,training_work,2,196608.0,0.0200606442522257,0.0040996410185032426,0.01814195319479045,0.021979335309660952,198144.0,198144.0,20,False
ijcnn1,ME-DOL-ZO,training_work,3,294912.0,0.018788579339161466,0.003987590578094948,0.016922329502072765,0.020654829176250167,296448.0,296448.0,20,False
ijcnn1,ME-DOL-ZO,training_work,4,393216.0,0.015353254461660932,0.0035490912601125126,0.013692228622553284,0.01701428030076858,394752.0,394752.0,20,False
ijcnn1,ME-DOL-ZO,training_work,5,491520.0,0.017013164144009295,0.0036798679189427035,0.015290932944557595,0.018735395343460994,493056.0,493056.0,20,False
ijcnn1,ME-DOL-ZO,training_work,6,589824.0,0.013961978582665274,0.0030615495667636107,0.012529129279730761,0.015394827885599786,591360.0,591360.0,20,False
ijcnn1,ME-DOL-ZO,training_work,7,688128.0,0.016875097667798346,0.004669411945397735,0.014689745608269264,0.019060449727327428,689664.0,689664.0,20,False
ijcnn1,ME-DOL-ZO,training_work,8,786432.0,0.017478964198380666,0.005439341948150437,0.014933273805698685,0.020024654591062646,787968.0,787968.0,20,False
ijcnn1,ME-DOL-ZO,training_work,9,884736.0,0.014882348757237146,0.00399017701266294,0.013014888431509598,0.016749809082964695,886272.0,886272.0,20,False
ijcnn1,ME-DOL-ZO,training_work,10,983040.0,0.014787883590906811,0.00324002278106009,0.013271506252537773,0.01630426092927585,983040.0,983040.0,20,False
ijcnn1,DGFM,training_work,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,DGFM,training_work,1,98304.0,0.026496231090277385,0.008670825661074032,0.022438159766130866,0.030554302414423903,98304.0,98304.0,20,False
ijcnn1,DGFM,training_work,2,196608.0,0.020816063601523598,0.007849521519510086,0.017142374447606364,0.02448975275544083,196608.0,196608.0,20,False
ijcnn1,DGFM,training_work,3,294912.0,0.017805677838623468,0.003217907194344614,0.016299650913441682,0.019311704763805254,294912.0,294912.0,20,False
ijcnn1,DGFM,training_work,4,393216.0,0.018764992989599667,0.007221129242587046,0.01538540047410806,0.022144585505091272,393216.0,393216.0,20,False
ijcnn1,DGFM,training_work,5,491520.0,0.016875444399192883,0.005465366476033316,0.014317574152543814,0.019433314645841953,491520.0,491520.0,20,False
ijcnn1,DGFM,training_work,6,589824.0,0.015743506001308517,0.0036478073074040942,0.014036279629932591,0.017450732372684442,589824.0,589824.0,20,False
ijcnn1,DGFM,training_work,7,688128.0,0.01598157258704299,0.005162778218251204,0.013565318004221828,0.018397827169864153,688128.0,688128.0,20,False
ijcnn1,DGFM,training_work,8,786432.0,0.016314852098002985,0.004433681538030639,0.014239825265131418,0.018389878930874553,786432.0,786432.0,20,False
ijcnn1,DGFM,training_work,9,884736.0,0.015030532283708417,0.004365966605993059,0.012987197014554,0.017073867552862835,884736.0,884736.0,20,False
ijcnn1,DGFM,training_work,10,983040.0,0.014959065197035609,0.004593847872517593,0.012809078212215299,0.01710905218185592,983040.0,983040.0,20,False
ijcnn1,DGFM+,training_work,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,DGFM+,training_work,1,98304.0,0.03256210898980495,0.0049218751167056625,0.03025860052903635,0.03486561745057355,110592.0,110592.0,20,False
ijcnn1,DGFM+,training_work,2,196608.0,0.033012447878718335,0.009452186356606412,0.02858868849252371,0.03743620726491296,221184.0,221184.0,20,False
ijcnn1,DGFM+,training_work,3,294912.0,0.032927654497325376,0.008869374789228883,0.0287766593208384,0.03707864967381235,331776.0,331776.0,20,False
ijcnn1,DGFM+,training_work,4,393216.0,0.02767243301495905,0.00917405255214416,0.02337884425613975,0.03196602177377835,442368.0,442368.0,20,False
ijcnn1,DGFM+,training_work,5,491520.0,0.02767243301495905,0.00917405255214416,0.02337884425613975,0.03196602177377835,442368.0,442368.0,20,False
ijcnn1,DGFM+,training_work,6,589824.0,0.02858684351667758,0.009253737281398068,0.024255961156603053,0.0329177258767521,552960.0,552960.0,20,False
ijcnn1,DGFM+,training_work,7,688128.0,0.026599423587322184,0.008917421907933811,0.02242594166709872,0.030772905507545648,663552.0,663552.0,20,False
ijcnn1,DGFM+,training_work,8,786432.0,0.024772471841424653,0.009146911366087005,0.020491585548684944,0.02905335813416436,774144.0,774144.0,20,False
ijcnn1,DGFM+,training_work,9,884736.0,0.02709422665648158,0.00911287009504402,0.02282927216899973,0.03135918114396343,884736.0,884736.0,20,False
ijcnn1,DGFM+,training_work,10,983040.0,0.020709831546992002,0.005879698828359572,0.01795804779044622,0.023461615303537783,983040.0,983040.0,20,False
