method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,42.588908433914185,0,100000,200000,2024481442,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3682442307472229,0.0104781398549675,0.002,0.8417739272117615,0.8462011218070984,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,47.390380859375,0,100000,200000,2024481442,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3722255229949951,0.0175633449107408,0.002,0.8413746356964111,0.8477980494499207,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,1,100001,200001,1527951910,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3588612377643585,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.2259657382965088,1,100001,200001,1527951910,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9161143898963928,0.3588612377643585,0.002,0.7592211365699768,0.7637737393379211,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.0277721881866455,1,100001,200001,1527951910,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3904226720333099,0.0198514368385076,0.002,0.8315469622612,0.8323198556900024,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,9.82707142829895,1,100001,200001,1527951910,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3795742988586426,0.0146187841892242,0.002,0.8368600606918335,0.8398132920265198,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,14.71093201637268,1,100001,200001,1527951910,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3830986618995666,0.0288622342050075,0.002,0.8357851505279541,0.8417173624038696,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,19.612013339996334,1,100001,200001,1527951910,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3794291913509369,0.0134421531111001,0.002,0.8367679119110107,0.8414716720581055,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,24.72374677658081,1,100001,200001,1527951910,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3785290718078613,0.0121165532618761,0.002,0.838057816028595,0.8434985280036926,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,29.499647855758667,1,100001,200001,1527951910,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3805840313434601,0.0201682820916175,0.002,0.8366450667381287,0.8426386713981628,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,34.72521948814392,1,100001,200001,1527951910,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3756479918956756,0.0211478304117918,0.002,0.8397469520568848,0.8420858383178711,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,40.00471711158752,1,100001,200001,1527951910,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.373791366815567,0.0134990774095058,0.002,0.8406990170478821,0.8441742062568665,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,45.202821016311646,1,100001,200001,1527951910,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3718897998332977,0.0132394013926386,0.002,0.8420810103416443,0.8450340628623962,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,50.622565269470215,1,100001,200001,1527951910,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3735470175743103,0.0131567334756255,0.002,0.841589629650116,0.8447884321212769,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,2,100002,200002,741198208,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3538959324359894,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3983118534088135,2,100002,200002,741198208,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.928297221660614,0.3538959324359894,0.002,0.7588526010513306,0.7634052038192749,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,6.186267852783203,2,100002,200002,741198208,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4013020098209381,0.0188793484121561,0.002,0.8269401788711548,0.8284503221511841,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,11.064509391784668,2,100002,200002,741198208,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3842352926731109,0.0152790900319814,0.002,0.8363379240036011,0.8369264602661133,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,16.1927387714386,2,100002,200002,741198208,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3791833221912384,0.0172589402645826,0.002,0.8380885124206543,0.8399361371994019,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,21.271719694137573,2,100002,200002,741198208,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3775831162929535,0.0157754011452198,0.002,0.8394398093223572,0.84128737449646,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,25.987191200256348,2,100002,200002,741198208,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3769712448120117,0.0114960120990872,0.002,0.8367679119110107,0.8376021385192871,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,30.96908140182495,2,100002,200002,741198208,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.375017911195755,0.0112729780375957,0.002,0.8394398093223572,0.8403660655021667,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,35.87446594238281,2,100002,200002,741198208,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3791913390159607,0.0131566897034645,0.002,0.8387948870658875,0.8385234475135803,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,40.785292625427246,2,100002,200002,741198208,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3800888359546661,0.0141184078529477,0.002,0.8378735184669495,0.8380934596061707,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,45.49148416519165,2,100002,200002,741198208,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3739306926727295,0.0175034813582897,0.002,0.8414974808692932,0.8424543738365173,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,50.38564276695252,2,100002,200002,741198208,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3758475482463836,0.0105129806324839,0.002,0.8414667844772339,0.841410219669342,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,3,100003,200003,1528288592,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.35720160603523254,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.2952055931091308,3,100003,200003,1528288592,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9122337698936462,0.3572016060352325,0.002,0.7592211365699768,0.7637737393379211,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,6.691969871520996,3,100003,200003,1528288592,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3980428576469421,0.0327013581991195,0.002,0.8319768905639648,0.8366807699203491,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,11.49553680419922,3,100003,200003,1528288592,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3811816573143005,0.0182666070759296,0.002,0.835662305355072,0.8372949957847595,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,16.507691144943237,3,100003,200003,1528288592,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3786377012729645,0.0292543210089206,0.002,0.838733434677124,0.8402432203292847,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,21.600666761398315,3,100003,200003,1528288592,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3686469197273254,0.0137974880635738,0.002,0.8402690291404724,0.8427615165710449,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,26.602781057357788,3,100003,200003,1528288592,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3690467774868011,0.0097476197406649,0.002,0.8419888615608215,0.8440513610839844,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,31.31425094604492,3,100003,200003,1528288592,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3717207610607147,0.0263421982526779,0.002,0.8414974808692932,0.8430072069168091,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,36.30845975875855,3,100003,200003,1528288592,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3784716427326202,0.0108797429129481,0.002,0.8387948870658875,0.8400589823722839,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,41.007877826690674,3,100003,200003,1528288592,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3769805431365967,0.0156489983201026,0.002,0.8387948870658875,0.841410219669342,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,45.811988830566406,3,100003,200003,1528288592,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3692921698093414,0.0267941020429134,0.002,0.8413746356964111,0.8449726700782776,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,50.60236358642578,3,100003,200003,1528288592,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3709892034530639,0.0127094602212309,0.002,0.842510998249054,0.8443584442138672,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,4,100004,200004,196979118,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3631511628627777,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3046271800994873,4,100004,200004,196979118,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9225241541862488,0.3631511628627777,0.002,0.7591597437858582,0.7641422748565674,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.294718980789185,4,100004,200004,196979118,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4030360281467438,0.0279193650931119,0.002,0.8298885226249695,0.8309686183929443,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,10.11221694946289,4,100004,200004,196979118,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3815780282020569,0.014627356082201,0.002,0.8371671438217163,0.8389533758163452,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,15.711420059204102,4,100004,200004,196979118,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3831955194473266,0.0137134185060858,0.002,0.8357544541358948,0.8375406861305237,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,21.10806155204773,4,100004,200004,196979118,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3754159808158874,0.0216528512537479,0.002,0.8380270600318909,0.839260458946228,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,26.29617190361023,4,100004,200004,196979118,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3703450858592987,0.0186887234449386,0.002,0.8400540351867676,0.8409188389778137,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,31.411367893218998,4,100004,200004,196979118,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3743913471698761,0.0198349021375179,0.002,0.8393476605415344,0.8396904468536377,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,36.83188271522522,4,100004,200004,196979118,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3744862377643585,0.0167698301374912,0.002,0.8383956551551819,0.8402432203292847,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,42.403603315353394,4,100004,200004,196979118,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3672868609428406,0.0183584596961736,0.002,0.8406375646591187,0.8431300520896912,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,47.803916215896606,4,100004,200004,196979118,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3701459765434265,0.0149499112740159,0.002,0.8422038555145264,0.8449112176895142,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,53.20557475090027,4,100004,200004,196979118,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3681151270866394,0.0099632106721401,0.002,0.8444458246231079,0.8450955152511597,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,5,100005,200005,1976000430,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3681336045265198,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3003811836242676,5,100005,200005,1976000430,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.963220238685608,0.3681336045265198,0.002,0.7485642433166504,0.7538849115371704,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.200104236602783,5,100005,200005,1976000430,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3995435535907745,0.0322384014725685,0.002,0.830625593662262,0.8339168429374695,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
