dataset,search_seed,candidate_id,candidate_parameters,epsilon_25,epsilon_50,epsilon_75,epsilon_100,actual_work_25,actual_work_50,actual_work_75,actual_work_100,final_epsilon,final_depth,final_work,log_epsilon_score
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0009__smooth_B-1,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0009__smooth_B-2,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0009__smooth_B-4,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0009__smooth_B-8,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,16384,409600,409600,983040,0.3627978265285492,240,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-3em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-3em05__smooth_B-2,"{""M"": 2, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-3em05__smooth_B-4,"{""M"": 2, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-3em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,16384,409600,409600,983040,0.3627978265285492,240,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em05__smooth_B-2,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em05__smooth_B-4,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,16384,409600,409600,983040,0.3627978265285492,240,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em06__smooth_B-1,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em06__smooth_B-2,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em06__smooth_B-4,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-9em06__smooth_B-8,"{""M"": 2, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,16384,409600,409600,983040,0.3627978265285492,240,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0003__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,233984,479744,725504,983040,0.3627978265285492,7680,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0003__smooth_B-2,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,222208,467968,713728,983040,0.3627978265285492,3840,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0003__smooth_B-4,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0003__smooth_B-8,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0009__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0009, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,233984,479744,725504,983040,0.3627978265285492,7680,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0009__smooth_B-2,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0009, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,222208,467968,713728,983040,0.3627978265285492,3840,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0009__smooth_B-4,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0009, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-0p0009__smooth_B-8,"{""M"": 2, ""data_B_total"": 64, ""eta"": 0.0009, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-3em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 1}",0.3627978265285492,0.044371984899044,0.0297176409512758,0.0329642668366432,233984,479744,725504,983040,0.0329642668366432,7680,983040,-2.7643505241054926
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-3em05__smooth_B-2,"{""M"": 2, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.2953762710094452,0.0453473739326,222208,467968,713728,983040,0.0453473739326,3840,983040,-1.585181838595613
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-3em05__smooth_B-4,"{""M"": 2, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-3em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",0.3627978265285492,0.231658473610878,0.0361095629632473,0.0323694534599781,233984,479744,725504,983040,0.0323694534599781,7680,983040,-2.3070345705093986
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em05__smooth_B-2,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.0487865656614303,222208,467968,713728,983040,0.0487865656614303,3840,983040,-1.515507238149988
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em05__smooth_B-4,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em06__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 1}",0.3627978265285492,0.0848731771111488,0.0481286905705928,0.0321517623960971,233984,479744,725504,983040,0.0321517623960971,7680,983040,-2.4879178840672953
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em06__smooth_B-2,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.2836157083511352,0.0996078103780746,222208,467968,713728,983040,0.0996078103780746,3840,983040,-1.3986172249835527
