formal_config_id,method,epsilon,delta,formal_seed,worker_count,parameters,pilot_selection_status,confirmed_consecutive,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_per_worker_work,final_stat_proxy,end_to_end_time
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.009,0.1,1,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,2.392546385526657,0.008621972054243088,960,962,246272,30784,0.007431202568113804,40.39877824485302
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.011,0.1,2,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,4,6,1536,192,0.45561768114566803,0.010039440356194973,960,962,246272,30784,0.008380805142223835,43.91342806816101
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.009,0.1,2,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,3.072555333375931,0.00804630946367979,960,962,246272,30784,0.008380805142223835,43.91342806816101
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.011,0.1,3,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,4,6,1536,192,0.38671039044857025,0.010797638446092606,960,962,246272,30784,0.007267031818628311,49.269592463970184
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.009,0.1,3,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,2.4964747726917267,0.007328716106712818,960,962,246272,30784,0.007267031818628311,49.269592463970184
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.011,0.1,4,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,1.707237347960472,0.00852050632238388,960,962,246272,30784,0.00784939993172884,33.54009090363979
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.009,0.1,4,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,1.707237347960472,0.00852050632238388,960,962,246272,30784,0.00784939993172884,33.54009090363979
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0.01,0.1,0,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,4,6,3072,384,0.4511982500553131,0.009365656413137913,960,962,492544,61568,0.007319716736674309,37.20120431482792
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0.01,0.1,1,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,52,54,27648,3456,1.944153070449829,0.008376937359571457,960,962,492544,61568,0.007038578856736422,37.68490858376026
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0.01,0.1,2,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,4,6,3072,384,0.41047048568725586,0.009914877824485302,960,962,492544,61568,0.00788330752402544,37.89031724631786
