dimension,baseline,ratio_direction,epsilon,scope,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.4871877828054294,0.2786436954083628,3.368727941176471,3.60691278280543,0.8717969457013574,0.0696609238520907,0.842883342760181,0.9004604779411765
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.016,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19",3.799025958561562,0.4348446817348319,3.613182960228626,3.991215825196474,0.9497564896403905,0.10871117043370797,0.8999162747082639,0.9984159323648487
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.015,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",4.211447157479345,0.7108984370199298,3.9103066867772753,4.549669348871623,1.0528617893698362,0.17772460925498246,0.9777933113254977,1.1305850589207618
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
50,DGFM,DGFM/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.349565217391304,0.16679491854037434,6.275551932367149,6.417595410628019,0.793695652173913,0.020849364817546793,0.7847096920289856,0.8019708635265701
50,DGFM,DGFM/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.60240306122449,0.2963713399717203,7.475777295918368,7.7272919642857145,0.9503003826530613,0.03704641749646504,0.9344088169642856,0.9653727253401361
50,DGFM,DGFM/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.78704361744698,0.3997920782926711,8.617826690676273,8.947565566226492,1.0983804521808724,0.04997400978658389,1.0779487595038018,1.1195379276710684
50,DGFM,DGFM/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.260944193061842,0.5103502431706971,9.04360007541478,9.484372624434389,1.1576180241327303,0.06379378039633714,1.1301113970588232,1.1855547888386124
50,DGFM,DGFM/NOG-ZO,0.016,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19",9.756521393982693,0.6758047374356767,9.484689291101057,10.079293125347302,1.2195651742478366,0.08447559217945959,1.184592105263158,1.2576000585456852
50,DGFM,DGFM/NOG-ZO,0.015,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",9.975079920695903,0.7255403956738457,9.665390899949722,10.298035460757434,1.2468849900869878,0.0906925494592307,1.2085474285061548,1.2876635666764689
