dimension,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_capped_depth,sd_capped_depth,mean_capped_work,sd_capped_work
200,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
200,DGFM,0.05,primary,20,20,1.0,1388.8,35.1502040122851,177766.4,4499.226113572493,1388.8,35.1502040122851,177766.4,4499.226113572493
200,DGFM,0.03,primary,20,20,1.0,1774.0,56.56109877589758,227072.0,7239.82064331489,1774.0,56.56109877589758,227072.0,7239.82064331489
200,DGFM,0.02,descriptive,20,20,1.0,2198.4,95.6343915236839,281395.2,12241.20211503154,2198.4,95.6343915236839,281395.2,12241.20211503154
200,DGFM,0.018,descriptive,20,20,1.0,2376.8,107.35950427370061,304230.4,13742.016547033678,2376.8,107.35950427370061,304230.4,13742.016547033678
200,DGFM,0.016,descriptive,20,20,1.0,2736.0,192.4906012743151,350208.0,24638.796963112334,2736.0,192.4906012743151,350208.0,24638.796963112334
200,DGFM,0.015,descriptive,20,20,1.0,3200.0,269.94892304402987,409600.0,34553.46214963582,3200.0,269.94892304402987,409600.0,34553.46214963582
200,DGFM,0.01,descriptive,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
200,DGFM+,0.05,primary,20,20,1.0,1529.2,65.72798811048936,208332.8,8960.423448640548,1529.2,65.72798811048936,208332.8,8960.423448640548
200,DGFM+,0.03,primary,20,20,1.0,2604.8,370.9937721139917,354649.6,50473.96127697403,2604.8,370.9937721139917,354649.6,50473.96127697403
200,DGFM+,0.02,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
200,DGFM+,0.018,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
200,DGFM+,0.016,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
200,DGFM+,0.015,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
200,DGFM+,0.01,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
100,NOG-ZO,0.05,primary,20,20,1.0,214.4,2.0104987598001385,219545.6,2058.750730035342,214.4,2.0104987598001385,219545.6,2058.750730035342
100,NOG-ZO,0.03,primary,20,20,1.0,229.2,1.8806493839265088,234700.8,1925.784969140745,229.2,1.8806493839265088,234700.8,1925.784969140745
100,NOG-ZO,0.02,descriptive,20,20,1.0,237.2,1.8806493839265088,242892.8,1925.784969140745,237.2,1.8806493839265088,242892.8,1925.784969140745
100,NOG-ZO,0.018,descriptive,20,20,1.0,240.2,1.5761378513048243,245964.8,1613.96515973614,240.2,1.5761378513048243,245964.8,1613.96515973614
100,NOG-ZO,0.016,descriptive,20,18,0.9,242.0,2.0579830217101063,247808.0,2107.374614231149,313.8,221.0043105080937,321331.2,226308.41396028796
100,NOG-ZO,0.015,descriptive,20,11,0.55,244.0,1.7888543819998317,249856.0,1831.7868871678277,566.2,365.46143867430766,579788.8,374232.51320249104
100,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
100,ME-DOL-ZO,0.05,primary,20,20,1.0,496.2,15.70651892820638,127027.2,4020.8688456208333,496.2,15.70651892820638,127027.2,4020.8688456208333
100,ME-DOL-ZO,0.03,primary,20,20,1.0,622.8,26.377023494341675,159436.8,6752.518014551469,622.8,26.377023494341675,159436.8,6752.518014551469
100,ME-DOL-ZO,0.02,descriptive,20,20,1.0,780.6,47.28012823920626,199833.6,12103.712829236803,780.6,47.28012823920626,199833.6,12103.712829236803
100,ME-DOL-ZO,0.018,descriptive,20,20,1.0,852.0,58.399711607074515,218112.0,14950.326171411076,852.0,58.399711607074515,218112.0,14950.326171411076
100,ME-DOL-ZO,0.016,descriptive,20,20,1.0,991.8,128.79015980717585,253900.8,32970.28091063702,991.8,128.79015980717585,253900.8,32970.28091063702
100,ME-DOL-ZO,0.015,descriptive,20,20,1.0,1247.4,321.2980908096012,319334.4,82252.31124725791,1247.4,321.2980908096012,319334.4,82252.31124725791
100,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
100,DGFM,0.05,primary,20,20,1.0,1296.0,26.08488168713017,165888.0,3338.864855952662,1296.0,26.08488168713017,165888.0,3338.864855952662
100,DGFM,0.03,primary,20,20,1.0,1652.4,50.0256776171261,211507.2,6403.286734992141,1652.4,50.0256776171261,211507.2,6403.286734992141
100,DGFM,0.02,descriptive,20,20,1.0,1993.6,78.4094516322054,255180.8,10036.409808922292,1993.6,78.4094516322054,255180.8,10036.409808922292
