dimension,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
25,NOG-ZO,11,0.05,primary,True,148.0,151552.0,0.0464626401662826,960.0,983040.0,148.0,151552.0
25,NOG-ZO,11,0.03,primary,True,160.0,163840.0,0.0234475042670965,960.0,983040.0,160.0,163840.0
25,NOG-ZO,11,0.02,descriptive,True,164.0,167936.0,0.0173207856714725,960.0,983040.0,164.0,167936.0
25,NOG-ZO,11,0.018,descriptive,True,164.0,167936.0,0.0173207856714725,960.0,983040.0,164.0,167936.0
25,NOG-ZO,11,0.016,descriptive,True,168.0,172032.0,0.0129795037209987,960.0,983040.0,168.0,172032.0
25,NOG-ZO,11,0.015,descriptive,True,168.0,172032.0,0.0129795037209987,960.0,983040.0,168.0,172032.0
25,NOG-ZO,11,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,12,0.05,primary,True,148.0,151552.0,0.0476116724312305,960.0,983040.0,148.0,151552.0
25,NOG-ZO,12,0.03,primary,True,160.0,163840.0,0.0239527504891157,960.0,983040.0,160.0,163840.0
25,NOG-ZO,12,0.02,descriptive,True,164.0,167936.0,0.0176407881081104,960.0,983040.0,164.0,167936.0
25,NOG-ZO,12,0.018,descriptive,True,164.0,167936.0,0.0176407881081104,960.0,983040.0,164.0,167936.0
25,NOG-ZO,12,0.016,descriptive,True,168.0,172032.0,0.0125564057379961,960.0,983040.0,168.0,172032.0
25,NOG-ZO,12,0.015,descriptive,True,168.0,172032.0,0.0125564057379961,960.0,983040.0,168.0,172032.0
25,NOG-ZO,12,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,13,0.05,primary,True,148.0,151552.0,0.0488116294145584,960.0,983040.0,148.0,151552.0
25,NOG-ZO,13,0.03,primary,True,160.0,163840.0,0.026065707206726,960.0,983040.0,160.0,163840.0
25,NOG-ZO,13,0.02,descriptive,True,164.0,167936.0,0.0187547132372856,960.0,983040.0,164.0,167936.0
25,NOG-ZO,13,0.018,descriptive,True,168.0,172032.0,0.0133682740852236,960.0,983040.0,168.0,172032.0
25,NOG-ZO,13,0.016,descriptive,True,168.0,172032.0,0.0133682740852236,960.0,983040.0,168.0,172032.0
25,NOG-ZO,13,0.015,descriptive,True,168.0,172032.0,0.0133682740852236,960.0,983040.0,168.0,172032.0
