regime,epsilon,num_seeds,paired_hit_count,ratios_use_capped_values,depth_ratio_mean,depth_ratio_sd,depth_ratio_ci_low,depth_ratio_ci_high,work_ratio_mean,work_ratio_sd,work_ratio_ci_low,work_ratio_ci_high
work_optimal,0.006,20,20,False,0.2936557827593899,0.09069502026407981,0.2600133361510105,0.33967163009472656,0.9069820696889528,0.20347568464862492,0.8164910753518683,0.9893714399319121
work_optimal,0.00575,20,20,False,0.31248081741447054,0.10499221760264034,0.27082378545798685,0.36065967477157806,0.8651000829981669,0.21563167248245554,0.765953408907566,0.9502729313851923
work_optimal,0.0055,20,20,False,0.7478103685076056,0.37556476907127156,0.6042682869907481,0.9251723221894125,0.7791266355472571,0.2516283160364493,0.6651630535430278,0.883741402994667
work_optimal,0.00525,20,20,False,0.1691656400522335,0.05827468577161809,0.1456688665477155,0.19571891063698466,0.8197269662797647,0.26808186175686416,0.7067861084915756,0.9364331122014903
work_optimal,0.005,20,20,False,0.31418139146310187,0.10370021073526685,0.2748217655095867,0.3618143029293513,0.8674013291736672,0.2398054122062346,0.7649127406544514,0.9658650739114721
work_optimal,0.00475,20,20,False,0.37210562324983537,0.12140473395003375,0.3221642385743363,0.4253970534758425,0.7417982898828721,0.24286705532904249,0.6470491066021894,0.8455461992960883
work_optimal,0.0045,20,20,False,0.307603504456148,0.0861528084940629,0.2712923914094449,0.34355463530598507,0.8994362513142831,0.35024772892911826,0.7602580750341439,1.0546742395250357
work_optimal,0.00425,20,20,False,0.3884542667151715,0.22148194847884414,0.30516306094819196,0.49591591982315547,0.8064917527091726,0.34336823721338516,0.6618540243879987,0.9518095627841552
work_optimal,0.004,20,20,False,0.16271099481035955,0.044692010174016555,0.14538891291957037,0.1826093818154089,0.8162475864062345,0.19167620539697333,0.7369416910659657,0.9006482983110304
depth_optimal,0.01,20,20,False,0.8958904109589041,0.083904293512445,0.8630136986301369,0.9287671232876712,1.1254166666666665,0.10350138428884706,1.084861111111111,1.1659722222222222
depth_optimal,0.00975,20,20,False,0.9123287671232876,0.083904293512445,0.8794520547945205,0.9452054794520548,1.105138888888889,0.10350138428884706,1.0544444444444443,1.1456944444444443
depth_optimal,0.0095,20,20,False,0.9205479452054794,0.08262323670411527,0.8876712328767122,0.9534246575342465,1.095,0.10192111768431254,1.0544444444444443,1.1355555555555554
depth_optimal,0.00925,20,20,False,0.9205479452054794,0.08262323670411527,0.8876712328767122,0.9534246575342465,1.095,0.10192111768431254,1.0544444444444443,1.1355555555555554
depth_optimal,0.009,20,20,False,0.9723771152296534,0.04285795146824688,0.9514907332796132,0.9863013698630136,2.061111111111111,0.10259783520851545,2.0277777777777777,2.111111111111111
depth_optimal,0.00875,20,20,False,0.9723771152296534,0.04285795146824688,0.9514907332796132,0.9863013698630136,2.061111111111111,0.10259783520851545,2.0277777777777777,2.111111111111111
depth_optimal,0.0085,20,20,False,0.9584528605962933,0.05714393529099583,0.9306043513295729,0.9793392425463335,2.0944444444444446,0.13679711361135394,2.0444444444444443,2.161111111111111
depth_optimal,0.00825,20,20,False,0.9584528605962933,0.05714393529099583,0.9306043513295729,0.9793392425463335,2.0944444444444446,0.13679711361135394,2.0444444444444443,2.161111111111111
depth_optimal,0.008,20,20,False,0.9444319097502014,0.07984449955892989,0.909331184528606,0.9723771152296534,1.067361111111111,0.10666116503233915,1.0305555555555554,1.1208333333333333
depth_optimal,0.00775,20,20,False,0.9305076551168412,0.08357378498720253,0.8885414987912973,0.9654149879129733,1.0840277777777778,0.11014519848744005,1.0388888888888888,1.1375
depth_optimal,0.0075,20,20,False,0.9166800966962128,0.07142991911374479,0.8888315874294923,0.9514907332796132,1.0972222222222223,0.08549819600709621,1.0638888888888889,1.1305555555555555
depth_optimal,0.00725,20,20,False,0.8818694601128122,0.06186012454277062,0.8540209508460919,0.9097179693795326,1.1388888888888888,0.07404360971988658,1.1055555555555556,1.163888888888889
depth_optimal,0.007,20,20,False,0.8679452054794521,0.051011165500741334,0.8470588235294118,0.8888315874294923,1.1555555555555557,0.061057924755420566,1.1222222222222222,1.1805555555555556
depth_optimal,0.00675,20,20,False,0.865678610768173,0.07467392153304193,0.8330068234406997,0.8959871071716358,1.1637896825396825,0.10693471807942587,1.121924603174603,1.2137896825396826
depth_optimal,0.0065,20,20,False,0.8627950921856341,0.11491947134003044,0.8098804526456076,0.9135785474968646,1.1814484126984128,0.1855159847032576,1.1086309523809523,1.264781746031746
