method,base_method,oracle_type,worker_count,formal_seed,threshold,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_stat_proxy,final_stat_proxy
NOG-FO,NOG,sfo,4,3,0.009,True,62.0,31744.0,7936.0,0.0082027427852153,0.0071942973881959
NOG-FO,NOG,sfo,4,3,0.008,True,158.0,80896.0,20224.0,0.006081209052354,0.0071942973881959
NOG-FO,NOG,sfo,4,3,0.0075,True,158.0,80896.0,20224.0,0.006081209052354,0.0071942973881959
NOG-FO,NOG,sfo,4,4,0.01,True,62.0,31744.0,7936.0,0.0081434473395347,0.0077400323934853
NOG-FO,NOG,sfo,4,4,0.009,True,62.0,31744.0,7936.0,0.0081434473395347,0.0077400323934853
NOG-FO,NOG,sfo,4,4,0.008,True,110.0,56320.0,14080.0,0.007601449266076,0.0077400323934853
NOG-FO,NOG,sfo,4,4,0.0075,True,302.0,154624.0,38656.0,0.0067612002603709,0.0077400323934853
NOG-FO,NOG,sfo,8,0,0.01,True,14.0,7168.0,896.0,0.0093703242018818,0.0071975495666265
NOG-FO,NOG,sfo,8,0,0.009,True,62.0,31744.0,3968.0,0.0077388337813317,0.0071975495666265
NOG-FO,NOG,sfo,8,0,0.008,True,62.0,31744.0,3968.0,0.0077388337813317,0.0071975495666265
NOG-FO,NOG,sfo,8,0,0.0075,True,158.0,80896.0,10112.0,0.0074355248361825,0.0071975495666265
NOG-FO,NOG,sfo,8,1,0.01,True,14.0,7168.0,896.0,0.009895846247673,0.0075390869751572
NOG-FO,NOG,sfo,8,1,0.009,True,62.0,31744.0,3968.0,0.0077347168698906,0.0075390869751572
NOG-FO,NOG,sfo,8,1,0.008,True,62.0,31744.0,3968.0,0.0077347168698906,0.0075390869751572
NOG-FO,NOG,sfo,8,1,0.0075,True,110.0,56320.0,7040.0,0.0074228490702807,0.0075390869751572
NOG-FO,NOG,sfo,8,2,0.01,True,62.0,31744.0,3968.0,0.0080859269946813,0.0072055254131555
NOG-FO,NOG,sfo,8,2,0.009,True,62.0,31744.0,3968.0,0.0080859269946813,0.0072055254131555
NOG-FO,NOG,sfo,8,2,0.008,True,110.0,56320.0,7040.0,0.0076140789315104,0.0072055254131555
NOG-FO,NOG,sfo,8,2,0.0075,True,590.0,302080.0,37760.0,0.0068311556242406,0.0072055254131555
NOG-FO,NOG,sfo,8,3,0.01,True,14.0,7168.0,896.0,0.0098120812326669,0.0072121312841773
NOG-FO,NOG,sfo,8,3,0.009,True,62.0,31744.0,3968.0,0.0077089234255254,0.0072121312841773
NOG-FO,NOG,sfo,8,3,0.008,True,62.0,31744.0,3968.0,0.0077089234255254,0.0072121312841773
NOG-FO,NOG,sfo,8,3,0.0075,True,158.0,80896.0,10112.0,0.0064161759801208,0.0072121312841773
NOG-FO,NOG,sfo,8,4,0.01,True,62.0,31744.0,3968.0,0.0080788638442754,0.0074008647352457
NOG-FO,NOG,sfo,8,4,0.009,True,62.0,31744.0,3968.0,0.0080788638442754,0.0074008647352457
NOG-FO,NOG,sfo,8,4,0.008,True,110.0,56320.0,7040.0,0.0073191407136619,0.0074008647352457
NOG-FO,NOG,sfo,8,4,0.0075,True,110.0,56320.0,7040.0,0.0073191407136619,0.0074008647352457
NOG-ZO,NOG,szo,1,0,0.01,True,14.0,14336.0,14336.0,0.0096996156498789,0.0095866415649652
NOG-ZO,NOG,szo,1,0,0.009,True,398.0,407552.0,407552.0,0.0086391465738415,0.0095866415649652
NOG-ZO,NOG,szo,1,0,0.008,False,,,,,0.0095866415649652
NOG-ZO,NOG,szo,1,0,0.0075,False,,,,,0.0095866415649652
NOG-ZO,NOG,szo,1,1,0.01,True,110.0,112640.0,112640.0,0.0099174818024039,0.0090193459764122
NOG-ZO,NOG,szo,1,1,0.009,True,350.0,358400.0,358400.0,0.0088065415620803,0.0090193459764122
NOG-ZO,NOG,szo,1,1,0.008,False,,,,,0.0090193459764122
NOG-ZO,NOG,szo,1,1,0.0075,False,,,,,0.0090193459764122
NOG-ZO,NOG,szo,1,2,0.01,True,926.0,948224.0,948224.0,0.0098965242505073,0.0095376074314117
NOG-ZO,NOG,szo,1,2,0.009,False,,,,,0.0095376074314117
NOG-ZO,NOG,szo,1,2,0.008,False,,,,,0.0095376074314117
NOG-ZO,NOG,szo,1,2,0.0075,False,,,,,0.0095376074314117
NOG-ZO,NOG,szo,1,3,0.01,True,158.0,161792.0,161792.0,0.0088442228734493,0.009069531224668
NOG-ZO,NOG,szo,1,3,0.009,True,158.0,161792.0,161792.0,0.0088442228734493,0.009069531224668
NOG-ZO,NOG,szo,1,3,0.008,False,,,,,0.009069531224668
NOG-ZO,NOG,szo,1,3,0.0075,False,,,,,0.009069531224668
NOG-ZO,NOG,szo,1,4,0.01,True,302.0,309248.0,309248.0,0.0097342152148485,0.0088036190718412
NOG-ZO,NOG,szo,1,4,0.009,True,782.0,800768.0,800768.0,0.0081942602992057,0.0088036190718412
NOG-ZO,NOG,szo,1,4,0.008,False,,,,,0.0088036190718412
NOG-ZO,NOG,szo,1,4,0.0075,False,,,,,0.0088036190718412
NOG-ZO,NOG,szo,2,0,0.01,True,14.0,14336.0,7168.0,0.0098784305155277,0.0096023390069603
NOG-ZO,NOG,szo,2,0,0.009,True,830.0,849920.0,424960.0,0.0088154599070549,0.0096023390069603
NOG-ZO,NOG,szo,2,0,0.008,False,,,,,0.0096023390069603
NOG-ZO,NOG,szo,2,0,0.0075,False,,,,,0.0096023390069603
NOG-ZO,NOG,szo,2,1,0.01,True,110.0,112640.0,56320.0,0.0098311137408018,0.0088162729516625
NOG-ZO,NOG,szo,2,1,0.009,True,350.0,358400.0,179200.0,0.0087039405480027,0.0088162729516625
NOG-ZO,NOG,szo,2,1,0.008,True,926.0,948224.0,474112.0,0.0079491371288895,0.0088162729516625
NOG-ZO,NOG,szo,2,1,0.0075,False,,,,,0.0088162729516625
NOG-ZO,NOG,szo,2,2,0.01,True,782.0,800768.0,400384.0,0.0093690622597932,0.0103982985019683
NOG-ZO,NOG,szo,2,2,0.009,False,,,,,0.0103982985019683
NOG-ZO,NOG,szo,2,2,0.008,False,,,,,0.0103982985019683
NOG-ZO,NOG,szo,2,2,0.0075,False,,,,,0.0103982985019683
NOG-ZO,NOG,szo,2,3,0.01,True,158.0,161792.0,80896.0,0.0093459710478782,0.0090199913829565
NOG-ZO,NOG,szo,2,3,0.009,True,494.0,505856.0,252928.0,0.0083385249599814,0.0090199913829565
NOG-ZO,NOG,szo,2,3,0.008,False,,,,,0.0090199913829565
NOG-ZO,NOG,szo,2,3,0.0075,False,,,,,0.0090199913829565
NOG-ZO,NOG,szo,2,4,0.01,True,302.0,309248.0,154624.0,0.0099214185029268,0.0090645691379904
NOG-ZO,NOG,szo,2,4,0.009,True,638.0,653312.0,326656.0,0.0084174685180187,0.0090645691379904
NOG-ZO,NOG,szo,2,4,0.008,False,,,,,0.0090645691379904
NOG-ZO,NOG,szo,2,4,0.0075,False,,,,,0.0090645691379904
NOG-ZO,NOG,szo,4,0,0.01,True,14.0,14336.0,3584.0,0.0098971240222454,0.0099523598328232
NOG-ZO,NOG,szo,4,0,0.009,True,830.0,849920.0,212480.0,0.0089343879371881,0.0099523598328232
NOG-ZO,NOG,szo,4,0,0.008,False,,,,,0.0099523598328232
NOG-ZO,NOG,szo,4,0,0.0075,False,,,,,0.0099523598328232
NOG-ZO,NOG,szo,4,1,0.01,True,110.0,112640.0,28160.0,0.0097254021093249,0.0093973092734813
NOG-ZO,NOG,szo,4,1,0.009,True,590.0,604160.0,151040.0,0.0084087364375591,0.0093973092734813
NOG-ZO,NOG,szo,4,1,0.008,False,,,,,0.0093973092734813
NOG-ZO,NOG,szo,4,1,0.0075,False,,,,,0.0093973092734813
NOG-ZO,NOG,szo,4,2,0.01,True,446.0,456704.0,114176.0,0.0093481158837676,0.0091718351468443
NOG-ZO,NOG,szo,4,2,0.009,False,,,,,0.0091718351468443
NOG-ZO,NOG,szo,4,2,0.008,False,,,,,0.0091718351468443
NOG-ZO,NOG,szo,4,2,0.0075,False,,,,,0.0091718351468443
NOG-ZO,NOG,szo,4,3,0.01,True,158.0,161792.0,40448.0,0.0090530412271618,0.009021058678627
NOG-ZO,NOG,szo,4,3,0.009,True,494.0,505856.0,126464.0,0.0077354740351438,0.009021058678627
NOG-ZO,NOG,szo,4,3,0.008,True,494.0,505856.0,126464.0,0.0077354740351438,0.009021058678627
NOG-ZO,NOG,szo,4,3,0.0075,True,830.0,849920.0,212480.0,0.0072245169430971,0.009021058678627
NOG-ZO,NOG,szo,4,4,0.01,True,302.0,309248.0,77312.0,0.0098560014739632,0.0090878009796142
NOG-ZO,NOG,szo,4,4,0.009,True,638.0,653312.0,163328.0,0.0083490014076232,0.0090878009796142
NOG-ZO,NOG,szo,4,4,0.008,False,,,,,0.0090878009796142
NOG-ZO,NOG,szo,4,4,0.0075,False,,,,,0.0090878009796142
NOG-ZO,NOG,szo,8,0,0.01,True,14.0,14336.0,1792.0,0.0099303135648369,0.0096429400146007
NOG-ZO,NOG,szo,8,0,0.009,True,398.0,407552.0,50944.0,0.0083091957494616,0.0096429400146007
NOG-ZO,NOG,szo,8,0,0.008,False,,,,,0.0096429400146007
NOG-ZO,NOG,szo,8,0,0.0075,False,,,,,0.0096429400146007
NOG-ZO,NOG,szo,8,1,0.01,True,110.0,112640.0,14080.0,0.0098431883379817,0.0084722861647605
NOG-ZO,NOG,szo,8,1,0.009,True,686.0,702464.0,87808.0,0.0085449470207095,0.0084722861647605
NOG-ZO,NOG,szo,8,1,0.008,False,,,,,0.0084722861647605
NOG-ZO,NOG,szo,8,1,0.0075,False,,,,,0.0084722861647605
NOG-ZO,NOG,szo,8,2,0.01,True,590.0,604160.0,75520.0,0.0099318688735365,0.0092871347442269
NOG-ZO,NOG,szo,8,2,0.009,True,782.0,800768.0,100096.0,0.0088209323585033,0.0092871347442269
NOG-ZO,NOG,szo,8,2,0.008,False,,,,,0.0092871347442269
NOG-ZO,NOG,szo,8,2,0.0075,False,,,,,0.0092871347442269
NOG-ZO,NOG,szo,8,3,0.01,True,158.0,161792.0,20224.0,0.0092650111764669,0.0081699676811695
NOG-ZO,NOG,szo,8,3,0.009,True,494.0,505856.0,63232.0,0.0086154695600271,0.0081699676811695
NOG-ZO,NOG,szo,8,3,0.008,False,,,,,0.0081699676811695
NOG-ZO,NOG,szo,8,3,0.0075,False,,,,,0.0081699676811695
NOG-ZO,NOG,szo,8,4,0.01,True,446.0,456704.0,57088.0,0.0097290771082043,0.0093056010082364
NOG-ZO,NOG,szo,8,4,0.009,True,782.0,800768.0,100096.0,0.0087924804538488,0.0093056010082364
NOG-ZO,NOG,szo,8,4,0.008,False,,,,,0.0093056010082364
NOG-ZO,NOG,szo,8,4,0.0075,False,,,,,0.0093056010082364
