method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0080228215083479,32.78468704223633,3,100003,200003,810120864,sfo,492544,492544,123136,"[123136, 123136, 123136, 123136]",172032,962,962,0.7275988459587097,0.0071942973881959,,,,,,,,
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0074343220330774,63.85578370094299,3,100003,200003,254086981,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.7275456786155701,0.0072121312841773,,,,,,,,
NOG-ZO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0688297897577285,5.629636526107788,3,100003,200003,1823049628,szo,985088,985088,985088,[985088],172032,962,962,0.7297957539558411,0.009069531224668,,,,,,,,
NOG-ZO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0756621360778808,9.926697015762327,3,100003,200003,410878487,szo,985088,985088,492544,"[492544, 492544]",172032,962,962,0.7298022508621216,0.0090199913829565,,,,,,,,
NOG-ZO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0869709849357605,18.085859775543213,3,100003,200003,918763096,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7297310829162598,0.009021058678627,,,,,,,,
NOG-ZO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0714169144630432,34.266977071762085,3,100003,200003,1163900725,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.7298012971878052,0.0081699676811695,,,,,,,,
NOG-FO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0075019425712525,9.347384691238403,4,100004,200004,1593696051,sfo,492544,492544,492544,[492544],172032,962,962,0.7250539064407349,0.0077500343322753,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0077447076328098,17.294918537139893,4,100004,200004,421877081,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7252807021141052,0.0077073569409549,,,,,,,,
NOG-FO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0071051558479666,33.114749908447266,4,100004,200004,1500831446,sfo,492544,492544,123136,"[123136, 123136, 123136, 123136]",172032,962,962,0.7250875234603882,0.0077400323934853,,,,,,,,
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.008498310111463,63.019548654556274,4,100004,200004,1333647735,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.7252592444419861,0.0074008647352457,,,,,,,,
NOG-ZO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0765219256281852,5.679553508758545,4,100004,200004,580675833,szo,985088,985088,985088,[985088],172032,962,962,0.7276483774185181,0.0088036190718412,,,,,,,,
NOG-ZO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0701307654380798,9.919411420822144,4,100004,200004,2095656556,szo,985088,985088,492544,"[492544, 492544]",172032,962,962,0.7275957465171814,0.0090645691379904,,,,,,,,
NOG-ZO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.076700821518898,17.937008142471313,4,100004,200004,402500822,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7276393175125122,0.0090878009796142,,,,,,,,
