method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,588,588,49.0,8,y_bar,0.1,12.0,0.3,0.007593187503516674,39.93688416481018,0,100000,200000,497076658,sfo,302080,302080,37760,"[37760, 37760, 37760, 37760, 37760, 37760, 37760, 37760]",106496,590,590,0.7285041213035583,0.007238633930683136,,,,,,,,
NOG-FO,NOG,636,636,53.0,8,y_bar,0.1,12.0,0.3,0.007920867763459682,43.257620096206665,0,100000,200000,497076658,sfo,326656,326656,40832,"[40832, 40832, 40832, 40832, 40832, 40832, 40832, 40832]",114688,638,638,0.7284401655197144,0.007307687774300575,,,,,,,,
NOG-FO,NOG,684,684,57.0,8,y_bar,0.1,12.0,0.3,0.0079837990924716,46.52639698982239,0,100000,200000,497076658,sfo,351232,351232,43904,"[43904, 43904, 43904, 43904, 43904, 43904, 43904, 43904]",122880,686,686,0.7283459901809692,0.006677671801298857,,,,,,,,
NOG-FO,NOG,732,732,61.0,8,y_bar,0.1,12.0,0.3,0.007911548018455505,49.79332494735718,0,100000,200000,497076658,sfo,375808,375808,46976,"[46976, 46976, 46976, 46976, 46976, 46976, 46976, 46976]",131072,734,734,0.7282421588897705,0.006994529161602259,,,,,,,,
NOG-FO,NOG,780,780,65.0,8,y_bar,0.1,12.0,0.3,0.00699613569304347,52.95308256149292,0,100000,200000,497076658,sfo,400384,400384,50048,"[50048, 50048, 50048, 50048, 50048, 50048, 50048, 50048]",139264,782,782,0.7281148433685303,0.00726389791816473,,,,,,,,
NOG-FO,NOG,828,828,69.0,8,y_bar,0.1,12.0,0.3,0.007699816022068262,55.95802021026611,0,100000,200000,497076658,sfo,424960,424960,53120,"[53120, 53120, 53120, 53120, 53120, 53120, 53120, 53120]",147456,830,830,0.728034257888794,0.0076679652556777,,,,,,,,
NOG-FO,NOG,876,876,73.0,8,y_bar,0.1,12.0,0.3,0.00736125698313117,59.05564904212952,0,100000,200000,497076658,sfo,449536,449536,56192,"[56192, 56192, 56192, 56192, 56192, 56192, 56192, 56192]",155648,878,878,0.7279156446456909,0.007671132683753967,,,,,,,,
NOG-FO,NOG,924,924,77.0,8,y_bar,0.1,12.0,0.3,0.007117100525647402,62.289406061172485,0,100000,200000,497076658,sfo,474112,474112,59264,"[59264, 59264, 59264, 59264, 59264, 59264, 59264, 59264]",163840,926,926,0.727785587310791,0.006669534370303154,,,,,,,,
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.00743701821193099,64.76460838317871,0,100000,200000,497076658,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.7276532053947449,0.007197549566626549,,,,,,,,
ME-DOL-FO,ME-DOL,12,12,,8,epoch_w_bar,0.1,,0.000637887953849786,,0.1869797706604004,0,100000,200000,1570699740,sfo,96,96,12,"[12, 12, 12, 12, 12, 12, 12, 12]",8192,12,12,0.7295529842376709,0.009871908463537693,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,60,60,,8,epoch_w_bar,0.1,,0.000637887953849786,,0.6971611976623535,0,100000,200000,1570699740,sfo,480,480,60,"[60, 60, 60, 60, 60, 60, 60, 60]",16384,60,60,0.7295897006988525,0.01033961120992899,12.0,0.002209708691207961,3.0,,,,,
