method,oracle_type,worker_count,communication_round,total_work,num_seeds,stat_proxy_mean,stat_proxy_std,objective_mean,objective_std
DGFM+,szo,8,288,39168,5,0.01136752367019648,0.0009507477282830274,0.7274788975715637,0.0058105496413184176
DGFM+,szo,8,384,52224,5,0.01086169611662624,0.001655616284165082,0.7274893760681153,0.005812477717082034
DGFM+,szo,8,480,65280,5,0.01061321999877686,0.0008483707880131251,0.7275160789489746,0.005803793093660015
DGFM+,szo,8,576,78336,5,0.011115001328289461,0.0012586520827111737,0.7275332450866699,0.005806548951615118
DGFM+,szo,8,672,91392,5,0.01129098199307916,0.000723908782728488,0.7275512218475342,0.005794781065394834
DGFM+,szo,8,768,104448,5,0.01119939647614952,0.0011449489307649172,0.7275733828544617,0.005783833815879127
DGFM+,szo,8,864,117504,5,0.01113935280591244,0.0013763081388669255,0.727599048614502,0.005789035179310003
DGFM+,szo,8,960,130560,5,0.01103935074061152,0.0011119217945374546,0.7276059985160828,0.00579253013587593
DGFM+,szo,8,1056,143616,5,0.01101306732743974,0.0014870040543655022,0.7276132702827454,0.005801681660312162
DGFM+,szo,8,1152,156672,5,0.01087911613285538,0.0006350811745533196,0.7276259660720825,0.005795901706892207
DGFM+,szo,8,1248,169728,5,0.01156452447175976,0.0008843173400758529,0.7276389241218567,0.005794155447237008
DGFM+,szo,8,1344,182784,5,0.010753276944160419,0.0009153170939580692,0.7276448249816895,0.005798037342991616
DGFM+,szo,8,1440,195840,5,0.0111500376835465,0.0009958516913064605,0.727652633190155,0.00579087409243054
DGFM+,szo,8,1536,208896,5,0.01111766640096898,0.0012471886946255938,0.7276676297187805,0.005791523869227156
DGFM+,szo,8,1632,221952,5,0.0113172443583607,0.000638607840634395,0.7276708364486695,0.005785867736433818
DGFM+,szo,8,1728,235008,5,0.011545673757791461,0.0009894790026867542,0.7276691436767578,0.005785581443713686
DGFM+,szo,8,1824,248064,5,0.01135855037719008,0.0006753965538225462,0.7276730895042419,0.0057958824078991
DGFM+,szo,8,1920,261120,5,0.011023114807903741,0.0006781478872305325,0.7276772260665894,0.005793575979614164
ME-DOL-FO,sfo,8,12,96,5,0.0108720920979976,0.0009192527027102099,0.7273313879966736,0.005807786155766771
ME-DOL-FO,sfo,8,60,480,5,0.010987547598779141,0.0008089003820020305,0.7273606300354004,0.005811353414797206
ME-DOL-FO,sfo,8,108,864,5,0.010830090381205,0.0006922257081790955,0.7273634076118469,0.005813329882746852
ME-DOL-FO,sfo,8,156,1248,5,0.01025343518704172,0.0011425129928166826,0.7273687839508056,0.00581185783393515
ME-DOL-FO,sfo,8,204,1632,5,0.010864692367613279,0.0009500396272865793,0.727368175983429,0.005815715477295272
