method,epsilon,worker_count,ratio_direction,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high,mean_per_worker_work_ratio,sd_per_worker_work_ratio,per_worker_work_ratio_ci_low,per_worker_work_ratio_ci_high
DGFM+,0.05,2,m/current divided by m=1 within method,18,20,False,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19",0.32245836642485415,0.33424705542083016,0.1973829920177863,0.48646650869905433,0.6453019597348746,0.6684925811645979,0.39573101085273504,0.9859948153954368,0.3226509798674373,0.33424629058229893,0.19666258678376441,0.4972032882741912
DGFM+,0.05,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.1268141646299362,0.04358952195877653,0.10861593166157706,0.1461770553117985,0.5078048270656338,0.17432935080432585,0.4382808915587599,0.5829495787584643,0.12695120676640845,0.04358233770108146,0.10878299737654575,0.146609958343253
DGFM+,0.05,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.1150557885654091,0.03365199784799635,0.1016675161302333,0.1283052302283496,0.9219679055371979,0.27001074298188493,0.8109199843269536,1.0398269640261422,0.11524598819214973,0.03375134287273562,0.10067377231089204,0.13000060190425447
DGFM+,0.03,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM+,0.03,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.03,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.03,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.1038331567414573,0.0336981111066443,0.09031921353392146,0.11881436152572199,0.8314987919071756,0.2696173651635708,0.7243773572921631,0.9538613053307493,0.10393734898839695,0.03370217064544635,0.09055287471817117,0.11923100532094545
DGFM+,0.02,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM+,0.02,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.02,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.02,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.018,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM+,0.018,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.018,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.018,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.016,1,m/current divided by m=1 within method,18,20,False,"0,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM+,0.016,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.016,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
