worker_count,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_first_hit_per_worker_work,sd_first_hit_per_worker_work,mean_capped_depth,mean_capped_work,mean_capped_per_worker_work
4,ME-DOL-ZO,0.05,primary,20,20,1.0,378.0,23.19709600699826,48384.0,2969.2282888957775,12096.0,742.3070722239444,378.0,48384.0,12096.0
4,ME-DOL-ZO,0.03,descriptive,20,20,1.0,499.2,44.798496215363016,63897.6,5734.207515566466,15974.4,1433.5518788916165,499.2,63897.6,15974.4
4,ME-DOL-ZO,0.02,descriptive,20,20,1.0,1738.8,1077.6106903701354,222566.4,137934.16836737734,55641.6,34483.542091844334,1738.8,222566.4,55641.6
4,ME-DOL-ZO,0.018,descriptive,20,9,0.45,3668.0,1991.710822383611,469504.0,254938.9852651022,117376.0,63734.74631627555,5874.6,751948.8,187987.2
4,ME-DOL-ZO,0.016,descriptive,20,0,0.0,,,,,,,7680.0,983040.0,245760.0
4,ME-DOL-ZO,0.015,descriptive,20,0,0.0,,,,,,,7680.0,983040.0,245760.0
4,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,,,7680.0,983040.0,245760.0
4,DGFM,0.05,primary,20,20,1.0,1304.0,49.38356854364884,83456.0,3160.548386793526,20864.0,790.1370966983815,1304.0,83456.0,20864.0
4,DGFM,0.03,descriptive,20,20,1.0,1680.8,68.56852124162485,107571.2,4388.38535946399,26892.8,1097.0963398659976,1680.8,107571.2,26892.8
4,DGFM,0.02,descriptive,20,20,1.0,2150.4,155.94006945989827,137625.6,9980.16444543349,34406.4,2495.0411113583723,2150.4,137625.6,34406.4
4,DGFM,0.018,descriptive,20,20,1.0,2344.8,185.3206609323986,150067.2,11860.52229967351,37516.8,2965.1305749183775,2344.8,150067.2,37516.8
4,DGFM,0.016,descriptive,20,20,1.0,2757.6,404.847261647103,176486.4,25910.22474541459,44121.6,6477.556186353648,2757.6,176486.4,44121.6
4,DGFM,0.015,descriptive,20,20,1.0,3200.0,623.0167692260314,204800.0,39873.07323046601,51200.0,9968.268307616503,3200.0,204800.0,51200.0
4,DGFM,0.01,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,245760.0
4,DGFM+,0.05,primary,20,20,1.0,1542.4,203.01060381949975,105011.2,13778.038213422342,26252.8,3444.5095533555855,1542.4,105011.2,26252.8
4,DGFM+,0.03,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
4,DGFM+,0.02,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
4,DGFM+,0.018,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
4,DGFM+,0.016,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
4,DGFM+,0.015,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
4,DGFM+,0.01,descriptive,20,0,0.0,,,,,,,14448.0,982656.0,245664.0
