worker_count,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_per_worker_work,first_hit_stat_proxy,censor_depth,censor_work,censor_per_worker_work,capped_depth,capped_work,capped_per_worker_work
1,NOG-ZO,8,0.05,primary,True,212.0,217088.0,217088.0,0.0481173656880855,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,8,0.03,descriptive,True,228.0,233472.0,233472.0,0.0250954646617174,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,8,0.02,descriptive,True,236.0,241664.0,241664.0,0.0164046641439199,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,8,0.018,descriptive,True,236.0,241664.0,241664.0,0.0164046641439199,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,8,0.016,descriptive,True,240.0,245760.0,245760.0,0.0138330273330211,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,8,0.015,descriptive,True,240.0,245760.0,245760.0,0.0138330273330211,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,8,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,9,0.05,primary,True,216.0,221184.0,221184.0,0.0467192307114601,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,9,0.03,descriptive,True,228.0,233472.0,233472.0,0.0298193413764238,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,9,0.02,descriptive,True,240.0,245760.0,245760.0,0.0163704585283994,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,9,0.018,descriptive,True,240.0,245760.0,245760.0,0.0163704585283994,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,9,0.016,descriptive,True,244.0,249856.0,249856.0,0.0140902418643236,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,9,0.015,descriptive,True,244.0,249856.0,249856.0,0.0140902418643236,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,9,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,10,0.05,primary,True,212.0,217088.0,217088.0,0.0491174831986427,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,10,0.03,descriptive,True,228.0,233472.0,233472.0,0.027275625616312,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,10,0.02,descriptive,True,236.0,241664.0,241664.0,0.0179258435964584,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,10,0.018,descriptive,True,236.0,241664.0,241664.0,0.0179258435964584,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,10,0.016,descriptive,True,240.0,245760.0,245760.0,0.014680084772408,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,10,0.015,descriptive,True,240.0,245760.0,245760.0,0.014680084772408,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,10,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,11,0.05,primary,True,212.0,217088.0,217088.0,0.0490946136415004,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,11,0.03,descriptive,True,228.0,233472.0,233472.0,0.0278445445001125,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,11,0.02,descriptive,True,236.0,241664.0,241664.0,0.0190744288265705,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,11,0.018,descriptive,True,240.0,245760.0,245760.0,0.0165515560656785,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,11,0.016,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,11,0.015,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,11,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,12,0.05,primary,True,216.0,221184.0,221184.0,0.0447455719113349,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,12,0.03,descriptive,True,228.0,233472.0,233472.0,0.0284183286130428,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,12,0.02,descriptive,True,236.0,241664.0,241664.0,0.0193457398563623,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,12,0.018,descriptive,True,240.0,245760.0,245760.0,0.0158867463469505,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,12,0.016,descriptive,True,240.0,245760.0,245760.0,0.0158867463469505,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,12,0.015,descriptive,True,244.0,249856.0,249856.0,0.0137438550591468,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,12,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,13,0.05,primary,True,216.0,221184.0,221184.0,0.0484982132911682,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,13,0.03,descriptive,True,232.0,237568.0,237568.0,0.0272773019969463,960.0,983040.0,983040.0,232.0,237568.0,237568.0
1,NOG-ZO,13,0.02,descriptive,True,240.0,245760.0,245760.0,0.0186294037848711,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,13,0.018,descriptive,True,244.0,249856.0,249856.0,0.0151555361226201,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,13,0.016,descriptive,True,244.0,249856.0,249856.0,0.0151555361226201,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,13,0.015,descriptive,True,248.0,253952.0,253952.0,0.0139421839267015,960.0,983040.0,983040.0,248.0,253952.0,253952.0
1,NOG-ZO,13,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,14,0.05,primary,True,212.0,217088.0,217088.0,0.0463715493679046,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,14,0.03,descriptive,True,224.0,229376.0,229376.0,0.0289935283362865,960.0,983040.0,983040.0,224.0,229376.0,229376.0
1,NOG-ZO,14,0.02,descriptive,True,236.0,241664.0,241664.0,0.0166123248636722,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,14,0.018,descriptive,True,236.0,241664.0,241664.0,0.0166123248636722,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,14,0.016,descriptive,True,240.0,245760.0,245760.0,0.0149007542058825,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,14,0.015,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,14,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,15,0.05,primary,True,216.0,221184.0,221184.0,0.0473516695201396,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,15,0.03,descriptive,True,232.0,237568.0,237568.0,0.0260673183947801,960.0,983040.0,983040.0,232.0,237568.0,237568.0
1,NOG-ZO,15,0.02,descriptive,True,240.0,245760.0,245760.0,0.0170925501734018,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,15,0.018,descriptive,True,240.0,245760.0,245760.0,0.0170925501734018,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,15,0.016,descriptive,True,244.0,249856.0,249856.0,0.0140571510419249,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,15,0.015,descriptive,True,244.0,249856.0,249856.0,0.0140571510419249,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,15,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,16,0.05,primary,True,212.0,217088.0,217088.0,0.048044130206108,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,16,0.03,descriptive,True,228.0,233472.0,233472.0,0.0262460429221391,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,16,0.02,descriptive,True,236.0,241664.0,241664.0,0.017900651320815,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,16,0.018,descriptive,True,236.0,241664.0,241664.0,0.017900651320815,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,16,0.016,descriptive,True,240.0,245760.0,245760.0,0.0150440409779548,960.0,983040.0,983040.0,240.0,245760.0,245760.0
