sequence,runtime_task_id,phase,repeat,runtime_config_id,method,epsilons,worker_count,rounds,checkpoint_count,expected_config_sha256,observed_config_sha256,partial_sha256,final_depth,final_total_work,final_per_worker_work,training_time,communication_time,evaluation_time,end_to_end_time,passed,errors
21,runtime-task-fba5dd49eaa908c7,warmup,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",32,12,1,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,5edc590ccdfcc15b23f0a93a51e37667a30502a0eb054029d679598e989051eb,12,384,12,2.225840002298355,0.29591523110866547,0.0593370646238327,8.658671975135803,True,
22,runtime-task-361632770a10d6e2,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],32,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,806557ed2d81c8936d72910c4feb6c355689190f14b6305015d4abfc85e69b1f,6,3072,96,1.1291601210832596,0.17412778735160828,0.03814099729061127,7.330258414149284,True,
23,runtime-task-8e4422fb3fc8b2a0,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],32,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,02fa6c8ccda06fb2fc20e0de9faeff53608487724e6c4fd64ab0665d91054d08,6,1536,48,1.1307413429021835,0.17619654536247253,0.04276089370250702,7.551555708050728,True,
24,runtime-task-b3eeada185fbf1b5,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",1,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,c15d3db7e81ef106fdb5f564d1b64d73277622e13675ca1ffec796261edb5004,1920,1920,1920,116.6138966679573,0.2681717574596405,2.010729745030403,121.57109671831131,True,
25,runtime-task-56a09be34e07b4f9,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],1,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,c95fec9d4e7408010c4e598f3dc6b51eeaf904f5ee251799badee95de5264a3a,962,492544,492544,14.7972601801157,0.10905285179615021,0.7898479700088501,18.78922589123249,True,
26,runtime-task-380e254e57102fb6,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],1,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,2e7689585f9866c229dd47a1abe8d4ecc4fd5836a713493e74efdd44990d0b30,962,246272,246272,11.990156441926956,0.1270606964826584,0.7881904095411301,15.781313940882683,True,
27,runtime-task-855a02498402c864,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],1,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,0bb5aa5c2be2b7d6ff3e73dcf72706c196e563943cc4aca4430ad7ed3b26a9fe,962,492544,492544,13.38303816318512,0.11992508172988892,0.7783123105764389,17.082748889923096,True,
28,runtime-task-97fc4f49b262027e,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],2,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,980d8d5b2109ca869bc3b24841fc0623b729521fc04b17fc9979d1da2bd984cf,962,246272,123136,21.445611894130707,0.8859242796897888,0.8457349389791489,25.35059291124344,True,
29,runtime-task-7e42181af734f78b,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",2,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,5d4643f1b97a024848b81f22378ac53c7a976446090bce26f96baf376134c1d2,1920,3840,1920,27.602379336953163,1.4710234254598618,1.6202588081359863,32.30230502784252,True,
30,runtime-task-5b30305a933841a7,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],2,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,bcee969f450d39ce61d291a3365411d2ff4735d9bb0b014bbbd90fa2a6bcceef,962,492544,246272,19.71516241133213,1.0314710140228271,0.7851340919733047,24.523216545581818,True,
