method,epsilon,worker_count,repeat_count,runtime_config_id,parameters,rounds,depth,total_work,per_worker_work,training_time_median,training_time_min,training_time_max,communication_time_median,communication_time_min,communication_time_max,communication_fraction_median,communication_fraction_min,communication_fraction_max,evaluation_time_median,evaluation_time_min,evaluation_time_max,end_to_end_time_median,end_to_end_time_min,end_to_end_time_max,non_training_overhead_median,non_training_overhead_min,non_training_overhead_max,training_speedup_vs_m1,training_efficiency_vs_m1,end_to_end_speedup_vs_m1,end_to_end_efficiency_vs_m1,is_strong_scaling_workload
NOG-FO,0.009,2,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",960,962,246272,123136,15.730183064937592,15.291927292943,21.445611894130707,0.8859242796897888,0.7969577312469482,0.8909172117710114,0.050664237533468916,0.04131028221825888,0.05826062305319464,0.8442811220884323,0.8379175961017609,0.8457349389791489,20.523642256855965,20.22580648958683,25.35059291124344,3.9555415958166122,3.059246078133583,4.089598074555397,0.6644656322575886,0.3322328161287943,0.6957544070765451,0.34787720353827256,True
NOG-FO,0.009,4,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",960,962,246272,61568,22.671324715018272,18.77779385447502,31.79708917438984,1.8489549607038498,1.7688737958669662,2.022297352552414,0.08920066991995285,0.05814856040951836,0.09420029901145272,0.8326055854558945,0.7934256047010422,0.9103734493255615,26.958874553442,23.76801446080208,36.0243419110775,3.4549442529678345,3.3168792873620987,4.196795001626015,0.46103022947077693,0.11525755736769423,0.5296739862475753,0.13241849656189383,True
NOG-FO,0.009,8,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",960,962,246272,30784,37.93226459622383,28.315039470791817,38.94562128186226,3.4054165482521057,3.3115025013685226,3.4378661662340164,0.08977625207726501,0.08827349655955029,0.11695207081679967,0.8879133611917496,0.8454528003931046,0.9085688143968582,43.29652318358421,33.5549153983593,44.46410335600376,4.4763452261686325,4.394423127174377,4.609913259744644,0.2755481684795557,0.034443521059944464,0.32980510903665256,0.04122563862958157,True
NOG-FO,0.009,16,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",960,962,246272,15392,69.9765061289072,51.961151003837585,159.7247133553028,6.40631477534771,5.796380504965782,7.011830613017082,0.09154950896728566,0.04389947219638752,0.1115521960731334,0.8731093406677246,0.867466002702713,1.1635290682315826,75.69147709012032,57.96902199089527,166.12007907032967,5.140404984354973,4.841861620545387,5.231836646795273,0.1493667891408713,0.009335424321304455,0.18865287213867543,0.011790804508667214,True
NOG-FO,0.009,32,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",960,962,246272,7696,88.87142676115036,87.37747846543789,90.0908278375864,12.715592548251152,12.038849920034409,12.722451150417328,0.14121805133540408,0.13546367329501594,0.1455248282688862,0.8900474309921265,0.8898875862360001,0.9224683940410614,96.16346469521523,95.1162983328104,97.50297258794308,6.522097319364548,6.402150347828865,6.816351473331451,0.11760997225646516,0.0036753116330145363,0.14849105733375728,0.004640345541679915,True
NOG-FO,0.01,1,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",960,962,492544,492544,12.60102592408657,12.478577211499214,14.7972601801157,0.11950293183326721,0.10905285179615021,0.12174816429615021,0.009576647225706413,0.007369800251447463,0.009661766036321804,0.8113620579242706,0.7898479700088501,0.8208758533000946,16.331035688519478,16.158193722367287,18.78922589123249,2.9186477065086365,2.858740657567978,3.2021177411079407,1.0,1.0,1.0,1.0,True
NOG-FO,0.01,2,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",960,962,492544,246272,17.874343007802963,17.680266976356506,19.38324646651745,1.0518765598535538,0.9533010721206665,1.0635553747415543,0.05426730561727942,0.05391892969690437,0.0595017883609632,0.7922527194023132,0.7741898894309998,0.803012490272522,22.656256571412086,21.421791717410088,24.186716213822365,3.98966084420681,2.9673348516225815,4.000457257032394,0.7049784105958832,0.3524892052979416,0.7208179178693694,0.3604089589346847,True
NOG-FO,0.01,4,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",960,962,492544,123136,26.74533674120903,21.893626049160957,33.777085080742836,2.284816950559616,2.2171239405870438,2.3079570531845093,0.0854286103281394,0.06563988382322197,0.10541684817316767,0.8656913489103317,0.7986255288124084,0.881879448890686,31.723803341388702,26.863049894571304,38.93319834768772,4.1707983165979385,4.1127752512693405,4.274233818054199,0.47114852379745875,0.11778713094936469,0.5147880760946802,0.12869701902367006,True
NOG-FO,0.01,8,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",960,962,492544,61568,37.96453009545803,32.05340349674225,43.64969690144062,3.8521082252264023,3.759514093399048,3.9631777554750443,0.09902701505711052,0.09079508076364771,0.12017782216537198,0.8714529871940613,0.8108078688383102,0.8816196620464325,43.36690606176853,36.31111818552017,49.06087803840637,4.520756304264069,3.4469068199396133,4.53972814977169,0.33191576169657694,0.04148947021207212,0.3765782983286562,0.047072287291082024,True
NOG-FO,0.01,16,3,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",960,962,492544,30784,53.08787702023983,51.81267195940018,79.99636407196522,6.626477867364883,6.068108886480331,6.71957628428936,0.11430309944710836,0.08399852121084389,0.12789299638044754,0.8528267294168472,0.8467589467763901,0.9133498072624207,58.71836172044277,56.944626584649086,89.71163892745972,4.777657970786095,4.285195678472519,8.801925048232079,0.2373616469779421,0.014835102936121381,0.27812485243153223,0.017382803276970765,True
