sequence,runtime_task_id,phase,include_in_summary,repeat,runtime_config_id,runtime_config_sha256,method,epsilons,rounds,worker_count,benchmark_seed,attempts_this_invocation,failure_attempt_count,output_root,estimated_end_to_end_seconds,status,task_status,error_type,message,task_key,partial_path,partial_sha256,checkpoint_count,training_time,communication_time,evaluation_time,end_to_end_time,final_depth,final_total_work,final_per_worker_work,timing_invariants
20,runtime-task-a0d2020d3ed01b55,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,32,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m32/warmup,17.22787457704544,complete,completed,,,NOG-FO__m32__seed0__cfgc7620b4d4c55,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m32/warmup/partials/NOG-FO__m32__seed0__cfgc7620b4d4c55.json,5ff9a334c2bfc6236399482334b7a7ec6bdd47435de716e11496f6685ecc4954,1,1.6011121720075607,0.22939477860927582,0.04109843075275421,9.408221334218979,10,5120,160,True
21,runtime-task-fba5dd49eaa908c7,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,32,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m32/warmup,11.185699194669724,complete,completed,,,ME-DOL-FO__m32__seed0__cfg3c080a7aeadf,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m32/warmup/partials/ME-DOL-FO__m32__seed0__cfg3c080a7aeadf.json,5edc590ccdfcc15b23f0a93a51e37667a30502a0eb054029d679598e989051eb,1,2.225840002298355,0.29591523110866547,0.0593370646238327,8.658671975135803,12,384,12,True
22,runtime-task-361632770a10d6e2,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,32,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m32/warmup,17.22787457704544,complete,completed,,,NOG-FO__m32__seed0__cfg04298560622f,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m32/warmup/partials/NOG-FO__m32__seed0__cfg04298560622f.json,806557ed2d81c8936d72910c4feb6c355689190f14b6305015d4abfc85e69b1f,1,1.1291601210832596,0.17412778735160828,0.03814099729061127,7.330258414149284,6,3072,96,True
23,runtime-task-8e4422fb3fc8b2a0,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,32,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m32/warmup,17.22787457704544,complete,completed,,,NOG-FO__m32__seed0__cfgda6e1c1e4629,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m32/warmup/partials/NOG-FO__m32__seed0__cfgda6e1c1e4629.json,02fa6c8ccda06fb2fc20e0de9faeff53608487724e6c4fd64ab0665d91054d08,1,1.1307413429021835,0.17619654536247253,0.04276089370250702,7.551555708050728,6,1536,48,True
24,runtime-task-b3eeada185fbf1b5,measured,True,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",1920,1,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m1/repeat_0,26.86363700723633,complete,completed,,,ME-DOL-FO__m1__seed0__cfg18ea654a9312,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m1/repeat_0/partials/ME-DOL-FO__m1__seed0__cfg18ea654a9312.json,c15d3db7e81ef106fdb5f564d1b64d73277622e13675ca1ffec796261edb5004,41,116.6138966679573,0.2681717574596405,2.010729745030403,121.57109671831131,1920,1920,1920,True
25,runtime-task-56a09be34e07b4f9,measured,True,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],960,1,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m1/repeat_0,8.139583611646337,complete,completed,,,NOG-FO__m1__seed0__cfgf27ee24c0928,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m1/repeat_0/partials/NOG-FO__m1__seed0__cfgf27ee24c0928.json,c95fec9d4e7408010c4e598f3dc6b51eeaf904f5ee251799badee95de5264a3a,21,14.7972601801157,0.10905285179615021,0.7898479700088501,18.78922589123249,962,492544,492544,True
26,runtime-task-380e254e57102fb6,measured,True,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],960,1,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m1/repeat_0,9.574064839666917,complete,completed,,,NOG-FO__m1__seed0__cfg32af75985913,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m1/repeat_0/partials/NOG-FO__m1__seed0__cfg32af75985913.json,2e7689585f9866c229dd47a1abe8d4ecc4fd5836a713493e74efdd44990d0b30,21,11.990156441926956,0.1270606964826584,0.7881904095411301,15.781313940882683,962,246272,246272,True
27,runtime-task-855a02498402c864,measured,True,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],960,1,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m1/repeat_0,8.099990121454393,complete,completed,,,NOG-FO__m1__seed0__cfg4689cc6245a9,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m1/repeat_0/partials/NOG-FO__m1__seed0__cfg4689cc6245a9.json,0bb5aa5c2be2b7d6ff3e73dcf72706c196e563943cc4aca4430ad7ed3b26a9fe,21,13.38303816318512,0.11992508172988892,0.7783123105764389,17.082748889923096,962,492544,492544,True
28,runtime-task-97fc4f49b262027e,measured,True,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],960,2,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m2/repeat_0,7.773037630395482,complete,completed,,,NOG-FO__m2__seed0__cfgaa6a34cd21f4,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m2/repeat_0/partials/NOG-FO__m2__seed0__cfgaa6a34cd21f4.json,980d8d5b2109ca869bc3b24841fc0623b729521fc04b17fc9979d1da2bd984cf,21,21.445611894130707,0.8859242796897888,0.8457349389791489,25.35059291124344,962,246272,123136,True
29,runtime-task-7e42181af734f78b,measured,True,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",1920,2,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m2/repeat_0,31.637289846273568,complete,completed,,,ME-DOL-FO__m2__seed0__cfg3161212e46b4,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m2/repeat_0/partials/ME-DOL-FO__m2__seed0__cfg3161212e46b4.json,5d4643f1b97a024848b81f22378ac53c7a976446090bce26f96baf376134c1d2,41,27.602379336953163,1.4710234254598618,1.6202588081359863,32.30230502784252,1920,3840,1920,True
