runtime_config_id,method,epsilon,worker_count,repeat,benchmark_seed,rounds,parameters,depth,total_work,per_worker_work,training_time,communication_time,communication_fraction,evaluation_time,end_to_end_time,non_training_overhead,final_stat_proxy,final_objective
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,4,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,123136,21.893626049160957,2.3079570531845093,0.10541684817316767,0.7986255288124084,26.863049894571304,4.1707983165979385,0.008223595097661018,0.711652934551239
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,4,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,123136,33.777085080742836,2.2171239405870438,0.06563988382322197,0.881879448890686,38.93319834768772,4.274233818054199,0.008223595097661018,0.711652934551239
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,8,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,61568,37.96453009545803,3.759514093399048,0.09902701505711052,0.8816196620464325,43.36690606176853,4.520756304264069,0.007319716736674309,0.7121021747589111
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,8,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,61568,43.64969690144062,3.9631777554750443,0.09079508076364771,0.8714529871940613,49.06087803840637,4.53972814977169,0.007319716736674309,0.7121021747589111
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,8,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,61568,32.05340349674225,3.8521082252264023,0.12017782216537198,0.8108078688383102,36.31111818552017,3.4469068199396133,0.007319716736674309,0.7121021747589111
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,16,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,30784,79.99636407196522,6.71957628428936,0.08399852121084389,0.9133498072624207,89.71163892745972,8.801925048232079,0.007124398369342089,0.711819052696228
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,16,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,30784,51.81267195940018,6.626477867364883,0.12789299638044754,0.8467589467763901,56.944626584649086,4.285195678472519,0.007124398369342089,0.711819052696228
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,16,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,30784,53.08787702023983,6.068108886480331,0.11430309944710836,0.8528267294168472,58.71836172044277,4.777657970786095,0.007124398369342089,0.711819052696228
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,32,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,15392,90.58371821045876,12.7072314620018,0.14028162801264465,0.8775784820318222,98.044432669878,6.583135977387428,0.007165192160755396,0.7120137214660645
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,32,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,15392,88.65386909246445,13.140778928995132,0.14822566757114153,0.8652330935001373,96.14521557092667,6.626113384962082,0.007165192160755396,0.7120137214660645
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,32,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,15392,90.74871821701527,13.17120449244976,0.14513928958150482,0.8725029826164246,98.49479068815708,6.873569488525391,0.007165192160755396,0.7120137214660645
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,1,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,116.6138966679573,0.2681717574596405,0.0022996552308274564,2.010729745030403,121.57109671831131,2.9464703053236008,0.010643712244927883,0.7208289504051208
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,1,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,16.655969187617302,0.22379833459854126,0.013436524292139162,1.5631043612957,21.150362819433212,2.9312892705202103,0.010643712244927883,0.7208289504051208
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,1,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,17.225471153855324,0.22318649291992188,0.012956771453532598,1.5907289236783981,21.76975344121456,2.9535533636808395,0.010643712244927883,0.7208289504051208
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,2,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,3840,1920,27.602379336953163,1.4710234254598618,0.0532933558916243,1.6202588081359863,32.30230502784252,3.079666882753372,0.010375713929533958,0.7184750437736511
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,2,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,3840,1920,24.120694547891617,1.3811006993055344,0.05725791587648358,1.6073380410671234,29.72813668847084,4.0001040995121,0.010375713929533958,0.7184750437736511
