method,epsilon,batch_total,hit_count,mean_depth_hits,mean_total_work_hits,eligible_full_hit
NOG-FO,0.00925,32,5,645.2,20646.4,True
NOG-FO,0.00925,64,5,486.8,31155.2,True
NOG-FO,0.00925,96,5,400.4,38438.4,True
NOG-FO,0.00925,128,5,366.8,46950.4,True
NOG-FO,0.00925,192,5,333.2,63974.4,True
NOG-FO,0.00925,256,5,314.0,80384.0,True
ME-DOL-FO,0.00925,32,5,278.4,8908.8,True
ME-DOL-FO,0.00925,64,5,273.6,17510.4,True
ME-DOL-FO,0.00925,96,5,259.2,24883.2,True
ME-DOL-FO,0.00925,128,5,259.2,33177.6,True
ME-DOL-FO,0.00925,192,5,259.2,49766.4,True
ME-DOL-FO,0.00925,256,5,259.2,66355.2,True
NOG-FO,0.009,32,5,650.0,20800.0,True
NOG-FO,0.009,64,5,486.8,31155.2,True
NOG-FO,0.009,96,5,405.2,38899.2,True
NOG-FO,0.009,128,5,366.8,46950.4,True
NOG-FO,0.009,192,5,333.2,63974.4,True
NOG-FO,0.009,256,5,314.0,80384.0,True
ME-DOL-FO,0.009,32,5,288.0,9216.0,True
ME-DOL-FO,0.009,64,5,273.6,17510.4,True
ME-DOL-FO,0.009,96,5,264.0,25344.0,True
ME-DOL-FO,0.009,128,5,259.2,33177.6,True
ME-DOL-FO,0.009,192,5,259.2,49766.4,True
ME-DOL-FO,0.009,256,5,259.2,66355.2,True
NOG-FO,0.00875,32,5,659.6,21107.2,True
NOG-FO,0.00875,64,5,496.4,31769.6,True
NOG-FO,0.00875,96,5,410.0,39360.0,True
NOG-FO,0.00875,128,5,371.6,47564.8,True
NOG-FO,0.00875,192,5,338.0,64896.0,True
NOG-FO,0.00875,256,5,314.0,80384.0,True
ME-DOL-FO,0.00875,32,5,297.6,9523.2,True
ME-DOL-FO,0.00875,64,5,273.6,17510.4,True
ME-DOL-FO,0.00875,96,5,268.8,25804.8,True
ME-DOL-FO,0.00875,128,5,264.0,33792.0,True
ME-DOL-FO,0.00875,192,5,259.2,49766.4,True
ME-DOL-FO,0.00875,256,5,268.8,68812.8,True
NOG-FO,0.0085,32,5,664.4,21260.8,True
NOG-FO,0.0085,64,5,496.4,31769.6,True
NOG-FO,0.0085,96,5,410.0,39360.0,True
NOG-FO,0.0085,128,5,371.6,47564.8,True
NOG-FO,0.0085,192,5,342.8,65817.6,True
NOG-FO,0.0085,256,5,314.0,80384.0,True
ME-DOL-FO,0.0085,32,5,302.4,9676.8,True
ME-DOL-FO,0.0085,64,5,278.4,17817.6,True
ME-DOL-FO,0.0085,96,5,273.6,26265.6,True
ME-DOL-FO,0.0085,128,5,273.6,35020.8,True
ME-DOL-FO,0.0085,192,5,268.8,51609.6,True
ME-DOL-FO,0.0085,256,5,268.8,68812.8,True
NOG-FO,0.00825,32,5,664.4,21260.8,True
NOG-FO,0.00825,64,5,496.4,31769.6,True
NOG-FO,0.00825,96,5,414.8,39820.8,True
NOG-FO,0.00825,128,5,371.6,47564.8,True
NOG-FO,0.00825,192,5,342.8,65817.6,True
NOG-FO,0.00825,256,5,314.0,80384.0,True
ME-DOL-FO,0.00825,32,5,302.4,9676.8,True
ME-DOL-FO,0.00825,64,5,278.4,17817.6,True
ME-DOL-FO,0.00825,96,5,273.6,26265.6,True
ME-DOL-FO,0.00825,128,5,273.6,35020.8,True
ME-DOL-FO,0.00825,192,5,273.6,52531.2,True
ME-DOL-FO,0.00825,256,5,268.8,68812.8,True
NOG-FO,0.008,32,5,664.4,21260.8,True
NOG-FO,0.008,64,5,501.2,32076.8,True
NOG-FO,0.008,96,5,414.8,39820.8,True
NOG-FO,0.008,128,5,371.6,47564.8,True
