method,label,epsilon,hit_count,mean_depth_hits,mean_total_work_hits
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00775,5,357.2,45721.6
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.0075,5,362.0,46336.0
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00725,5,362.0,46336.0
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.007,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00675,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.0065,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00625,5,371.6,47564.8
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.006,5,376.4,48179.2
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00575,5,376.4,48179.2
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.0055,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00525,5,395.6,50636.8
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.005,5,414.8,53094.4
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00475,5,544.4,69683.2
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.0045,5,1370.0,175360.0
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.00425,5,4048.4,518195.2
NOG-FO,NOG-FO__M-4__eta-1__batch-total-128__rounds-15360,0.004,2,2654.0,339712.0
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.01,5,362.0,46336.0
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00975,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0095,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00925,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.009,5,366.8,46950.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00875,5,371.6,47564.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0085,5,371.6,47564.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00825,5,371.6,47564.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.008,5,371.6,47564.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00775,5,386.0,49408.0
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0075,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00725,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.007,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00675,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0065,5,390.8,50022.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00625,5,395.6,50636.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.006,5,395.6,50636.8
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00575,5,400.4,51251.2
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0055,5,414.8,53094.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00525,5,414.8,53094.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.005,5,448.4,57395.2
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00475,5,520.4,66611.2
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.0045,5,558.8,71526.4
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.00425,5,928.4,118835.2
NOG-FO,NOG-FO__M-4__eta-2__batch-total-128__rounds-15360,0.004,5,3381.2,432793.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.01,5,499.2,63897.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00975,5,499.2,63897.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0095,5,508.8,65126.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00925,5,508.8,65126.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.009,5,508.8,65126.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00875,5,518.4,66355.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0085,5,518.4,66355.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00825,5,528.0,67584.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.008,5,532.8,68198.4
