candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,101,True,False,52,54,6912,864,3.0592660903930664,0.009368169121444225,960,962,123136,0.009574920870363712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,102,True,False,52,54,6912,864,2.1548196375370026,0.009386296384036541,960,962,123136,0.008885013870894909,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,100,True,False,148,150,19200,2400,6.750042483210564,0.008689362555742264,960,962,123136,0.008599042892456055,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,101,True,False,388,390,49920,6240,20.14605675637722,0.00858294777572155,960,962,123136,0.009574920870363712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,102,True,False,100,102,13056,1632,3.940577358007431,0.008708898909389973,960,962,123136,0.008885013870894909,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,100,False,True,,,,,,,960,962,123136,0.008599042892456055,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,101,False,True,,,,,,,960,962,123136,0.009574920870363712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,102,False,True,,,,,,,960,962,123136,0.008885013870894909,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.0075,100,False,True,,,,,,,960,962,123136,0.008599042892456055,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.0075,101,False,True,,,,,,,960,962,123136,0.009574920870363712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.0075,102,False,True,,,,,,,960,962,123136,0.008885013870894909,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,100,True,False,4,6,768,96,0.41456538438796997,0.010196860879659653,960,962,123136,0.007463385351002216,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,101,True,False,4,6,768,96,0.508096918463707,0.010354804806411266,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,102,True,False,4,6,768,96,0.5167076140642166,0.010236169211566448,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,100,True,False,52,54,6912,864,3.778502970933914,0.008821207098662853,960,962,123136,0.007463385351002216,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,101,True,False,52,54,6912,864,5.009516596794128,0.008757384493947029,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,102,True,False,52,54,6912,864,2.5155916661024094,0.008276522159576416,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,100,True,False,52,54,6912,864,3.778502970933914,0.008821207098662853,960,962,123136,0.007463385351002216,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,101,True,False,52,54,6912,864,5.009516596794128,0.008757384493947029,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,102,True,False,52,54,6912,864,2.5155916661024094,0.008276522159576416,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
