candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.008,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",58,29696,3712,2.344397246837616,True,True,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.0075,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",58,29696,3712,2.344397246837616,True,True,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.011,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",18,1152,144,0.7252599447965622,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.01,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",18,1152,144,0.7252599447965622,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.009,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",114,7296,912,3.523502290248871,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.008,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",306,19584,2448,9.436093404889107,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.0075,3,2,0.6666666666666666,False,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",306.0,19584.0,2448.0,9.26162913441658,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",18,2304,288,1.2134813368320465,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",18,2304,288,2.147036850452423,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",66,8448,1056,3.4474454075098038,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",114,14592,1824,7.852985754609108,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",210,26880,3360,12.422230795025826,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.011,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",18,4608,576,0.8201747834682465,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.01,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",18,4608,576,0.8201747834682465,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.009,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",66,16896,2112,2.4073725789785385,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.008,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",66,16896,2112,2.4073725789785385,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.0075,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",162,41472,5184,5.341338634490967,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,NOG-FO,0.011,3,3,1.0,True,0.007612747605890036,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 8}",18,9216,1152,0.8474548161029816,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,NOG-FO,0.01,3,3,1.0,True,0.007612747605890036,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 8}",18,9216,1152,0.8474548161029816,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,NOG-FO,0.009,3,3,1.0,True,0.007612747605890036,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 8}",66,33792,4224,2.603484019637108,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,NOG-FO,0.008,3,3,1.0,True,0.007612747605890036,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 8}",66,33792,4224,4.625753507018089,False,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,NOG-FO,0.0075,3,1,0.3333333333333333,False,0.007612747605890036,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 8}",354,181248,22656,12.758619502186775,False,False,full-hit
