method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,comparison_method,dataset_key,ablation_stage,ablation_method
NOG-ZO,NOG,1825,1825,1825.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.3096072673797607,36.39019441604614,0,100000,200000,952307147,szo,233856,233856,29232,"[29232, 29232, 29232, 29232, 29232, 29232, 29232, 29232]",163840,1827,1827,0.4859687089920044,0.0578237697482109,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1921,1921,1921.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.101250171661377,38.21200132369995,0,100000,200000,952307147,szo,246144,246144,30768,"[30768, 30768, 30768, 30768, 30768, 30768, 30768, 30768]",172032,1923,1923,0.4839743375778198,0.0520312115550041,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2017,2017,2017.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8341491222381592,39.921592473983765,0,100000,200000,952307147,szo,258432,258432,32304,"[32304, 32304, 32304, 32304, 32304, 32304, 32304, 32304]",180224,2019,2019,0.4819039702415466,0.0536221675574779,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2113,2113,2113.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8523500561714172,41.79048705101013,0,100000,200000,952307147,szo,270720,270720,33840,"[33840, 33840, 33840, 33840, 33840, 33840, 33840, 33840]",188416,2115,2115,0.4791026711463928,0.0468187816441059,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2209,2209,2209.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.179251194000244,43.6191611289978,0,100000,200000,952307147,szo,283008,283008,35376,"[35376, 35376, 35376, 35376, 35376, 35376, 35376, 35376]",196608,2211,2211,0.4764760136604309,0.0402775518596172,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2305,2305,2305.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.7693567276000977,45.32097673416138,0,100000,200000,952307147,szo,295296,295296,36912,"[36912, 36912, 36912, 36912, 36912, 36912, 36912, 36912]",204800,2307,2307,0.4747367203235626,0.0399126820266246,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2401,2401,2401.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.189761996269226,47.12344622612,0,100000,200000,952307147,szo,307584,307584,38448,"[38448, 38448, 38448, 38448, 38448, 38448, 38448, 38448]",212992,2403,2403,0.4732468426227569,0.0390454158186912,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2497,2497,2497.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.7975842356681824,49.10142135620117,0,100000,200000,952307147,szo,319872,319872,39984,"[39984, 39984, 39984, 39984, 39984, 39984, 39984, 39984]",221184,2499,2499,0.4717357754707336,0.0394917801022529,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2593,2593,2593.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8580204248428345,50.82217812538147,0,100000,200000,952307147,szo,332160,332160,41520,"[41520, 41520, 41520, 41520, 41520, 41520, 41520, 41520]",229376,2595,2595,0.4700982272624969,0.0388019159436225,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2689,2689,2689.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.695431113243103,52.787842988967896,0,100000,200000,952307147,szo,344448,344448,43056,"[43056, 43056, 43056, 43056, 43056, 43056, 43056, 43056]",237568,2691,2691,0.4683920443058014,0.0343189500272274,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
