dataset,method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,hit_epsilon,capped_depth,capped_work,stage
synthetic_maxsinl1,current_NOG-nonopt,722,0.025,True,228,233472,0.02294544503,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.02,True,232,237568,0.01898098551,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.018,True,236,241664,0.01609690674,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.016,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.015,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.014,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.013,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.012,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.0115,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.011,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01075,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.0105,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01025,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.0095,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.009,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.008,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.007,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.006,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.005,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.004,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.003,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.002,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.2,True,100,102400,0.197994411,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.18,True,116,118784,0.1797626317,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.16,True,136,139264,0.1545980126,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.14,True,148,151552,0.1382409483,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.12,True,164,167936,0.1154880971,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.1,True,176,180224,0.0967874527,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.09,True,184,188416,0.08460065722,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.08,True,188,192512,0.07873943448,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.07,True,196,200704,0.06701020151,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.06,True,204,208896,0.05478526279,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.05,True,208,212992,0.04945613816,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.04,True,216,221184,0.03809443861,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.03,True,224,229376,0.02737025358,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.025,True,228,233472,0.02256670035,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.02,True,232,237568,0.01820943691,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.018,True,236,241664,0.01496659592,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.016,True,236,241664,0.01496659592,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.015,True,236,241664,0.01496659592,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.014,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.013,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.012,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.0115,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.011,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.01075,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.0105,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.01025,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.01,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.0095,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.009,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.008,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.007,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.006,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.005,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.004,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.003,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,723,0.002,False,,,0.03237971663,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.2,True,100,102400,0.1999484748,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.18,True,120,122880,0.1765635759,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.16,True,136,139264,0.1553266346,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.14,True,148,151552,0.1388489157,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.12,True,164,167936,0.1146716624,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.1,True,176,180224,0.09671700746,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.09,True,184,188416,0.08421094716,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.08,True,188,192512,0.07832441479,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.07,True,196,200704,0.06564580649,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.06,True,200,204800,0.05977202207,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.05,True,208,212992,0.04856814444,960,983040,formal
